time_s,cmd_vel_x,cmd_vel_y,act_vel_x,act_vel_y,cmd_ang_vel_z,act_ang_vel_z,pitch_deg,l_sho_pitch_deg,r_sho_pitch_deg,fall_event
0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.01,0.5,0.0,0.0563,-0.0002,0.0,-0.0002,-0.251,0.04,0.01,0
0.02,0.5,0.0,0.08,0.0027,0.0,0.372,-0.516,0.508,-0.381,0
0.03,0.5,0.0,0.0895,-0.0021,0.0,-0.0547,-0.765,1.388,-1.306,0
0.04,0.5,0.0,0.0916,0.0004,0.0,0.283,-0.965,2.613,-2.525,0
0.05,0.5,0.0,0.1351,-0.0253,0.0,0.1814,-1.179,4.413,-3.79,0
0.06,0.5,0.0,0.1751,-0.0245,0.0,0.1601,-1.58,6.149,-5.609,0
0.07,0.5,0.0,0.182,-0.028,0.0,-0.1925,-2.003,8.053,-7.635,0
0.08,0.5,0.0,0.1383,-0.0271,0.0,0.1026,-2.152,10.097,-9.766,0
0.09,0.5,0.0,0.1333,-0.0231,0.0,0.1445,-2.168,12.285,-11.985,0
0.1,0.5,0.0,0.1516,0.0164,0.0,-0.1567,-2.111,14.692,-14.213,0
0.11,0.5,0.0,0.1513,0.06,0.0,-0.0842,-2.03,17.063,-16.577,0
0.12,0.5,0.0,0.166,0.0962,0.0,0.0688,-1.928,19.496,-19.055,0
0.13,0.5,0.0,0.1747,0.1299,0.0,0.1532,-1.819,21.964,-21.57,0
0.14,0.5,0.0,0.1674,0.0683,0.0,-0.0292,-1.46,24.522,-24.047,0
0.15,0.5,0.0,0.1791,0.0071,0.0,-0.0236,-1.135,27.059,-26.516,0
0.16,0.5,0.0,0.2467,-0.0287,0.0,-0.1058,-1.126,29.569,-29.034,0
0.17,0.5,0.0,0.1889,-0.025,0.0,-0.063,-0.965,32.056,-31.608,0
0.18,0.5,0.0,0.1732,-0.0636,0.0,-0.4085,-0.641,34.564,-34.157,0
0.19,0.5,0.0,0.2467,0.0035,0.0,0.1689,-0.257,37.125,-36.515,0
0.2,0.5,0.0,0.287,0.0508,0.0,-0.0916,-0.065,39.567,-38.965,0
0.21,0.5,0.0,0.2873,0.0362,0.0,0.6827,0.016,41.953,-41.484,0
0.22,0.5,0.0,0.2845,-0.0023,0.0,0.5214,0.348,44.391,-43.91,0
0.23,0.5,0.0,0.3182,-0.0216,0.0,0.0899,0.575,46.759,-46.235,0
0.24,0.5,0.0,0.3521,0.047,0.0,0.1451,0.913,49.13,-48.587,0
0.25,0.5,0.0,0.3957,0.0862,0.0,-0.0763,1.185,51.357,-50.81,0
0.26,0.5,0.0,0.4082,0.1153,0.0,0.0753,1.223,53.564,-53.045,0
0.27,0.5,0.0,0.4187,0.1445,0.0,0.1927,1.039,55.721,-55.237,0
0.28,0.5,0.0,0.4611,0.0676,0.0,0.227,0.759,57.89,-57.36,0
0.29,0.5,0.0,0.4521,0.005,0.0,0.0546,0.657,60.003,-59.49,0
0.3,0.5,0.0,0.4824,0.0025,0.0,0.0991,0.791,62.049,-61.569,0
0.31,0.5,0.0,0.4736,0.0722,0.0,0.0344,1.095,64.023,-63.579,0
0.32,0.5,0.0,0.4999,0.0516,0.0,-0.1005,1.278,65.896,-65.469,0
0.33,0.5,0.0,0.5367,0.0034,0.0,-0.0643,1.531,67.699,-67.257,0
0.34,0.5,0.0,0.532,0.0125,0.0,0.0436,1.652,69.442,-69.017,0
0.35,0.5,0.0,0.5603,0.0321,0.0,0.1675,1.505,71.12,-70.718,0
0.36,0.5,0.0,0.5526,0.1211,0.0,0.115,1.441,72.701,-72.373,0
0.37,0.5,0.0,0.6014,0.057,0.0,-0.1853,1.284,74.296,-73.896,0
0.38,0.5,0.0,0.5984,0.0661,0.0,0.2686,0.998,75.771,-75.466,0
0.39,0.5,0.0,0.5944,0.0933,0.0,-0.1316,0.768,77.221,-76.907,0
0.4,0.5,0.0,0.6557,-0.0308,0.0,-0.0631,0.459,78.582,-78.232,0
0.41,0.5,0.0,0.7078,-0.095,0.0,0.3026,0.11,79.85,-79.493,0
0.42,0.5,0.0,0.7364,-0.082,0.0,0.05,-0.417,81.041,-80.647,0
0.43,0.5,0.0,0.6967,-0.0709,0.0,0.2242,-0.854,82.15,-81.907,0
0.44,0.5,0.0,0.6853,0.0212,0.0,0.017,-1.148,83.167,-82.931,0
0.45,0.5,0.0,0.6962,0.0179,0.0,0.0952,-1.633,84.092,-83.844,0
0.46,0.5,0.0,0.69,0.0201,0.0,0.427,-2.256,84.938,-84.763,0
0.47,0.5,0.0,0.7072,0.1046,0.0,0.1696,-2.833,85.743,-85.554,0
0.48,0.5,0.0,0.7033,0.0977,0.0,-0.3692,-3.246,86.424,-86.26,0
0.49,0.5,0.0,0.7131,0.0195,0.0,0.0008,-3.606,87.015,-86.864,0
0.5,0.5,0.0,0.7617,0.0302,0.0,0.0981,-4.16,87.546,-87.362,0
0.51,0.5,0.0,0.6951,0.0293,0.0,0.1007,-4.567,88.0,-87.923,0
0.52,0.5,0.0,0.6676,0.0273,0.0,-0.1971,-4.732,88.392,-88.36,0
0.53,0.5,0.0,0.7379,-0.0407,0.0,0.0607,-4.872,88.645,-88.563,0
0.54,0.5,0.0,0.7408,-0.0039,0.0,0.0204,-5.077,88.823,-88.729,0
0.55,0.5,0.0,0.6995,-0.0086,0.0,0.1931,-5.195,88.903,-88.888,0
0.56,0.5,0.0,0.7232,-0.0092,0.0,-0.1415,-5.338,88.937,-88.863,0
0.57,0.5,0.0,0.723,-0.0453,0.0,-0.0272,-5.408,88.858,-88.825,0
0.58,0.5,0.0,0.6847,-0.0021,0.0,0.1254,-5.413,88.662,-88.662,0
0.59,0.5,0.0,0.796,-0.0851,0.0,-0.0058,-5.644,88.412,-88.262,0
0.6,0.5,0.0,0.7253,0.0439,0.0,-0.2365,-5.687,88.07,-88.006,0
0.61,0.5,0.0,0.7062,0.0395,0.0,-0.0439,-5.679,87.613,-87.56,0
0.62,0.5,0.0,0.7573,0.0392,0.0,0.0675,-5.905,87.089,-86.974,0
0.63,0.5,0.0,0.7072,0.0369,0.0,0.0494,-6.105,86.5,-86.434,0
