time_s,cmd_vel_x,cmd_vel_y,act_vel_x,act_vel_y,cmd_ang_vel_z,act_ang_vel_z,pitch_deg,l_sho_pitch_deg,r_sho_pitch_deg,fall_event
0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.01,0.5,0.0,0.0591,-0.0013,0.0,0.0836,-0.248,0.038,0.013,0
0.02,0.5,0.0,0.102,-0.0013,0.0,-0.1339,-0.724,0.541,-0.416,0
0.03,0.5,0.0,0.1453,-0.0027,0.0,-0.1465,-1.512,1.438,-1.315,0
0.04,0.5,0.0,0.1136,-0.0027,0.0,-0.2795,-2.199,2.636,-2.563,0
0.05,0.5,0.0,0.158,-0.1153,0.0,-0.1763,-2.484,4.39,-3.835,0
0.06,0.5,0.0,0.1716,-0.0732,0.0,0.0793,-2.634,6.106,-5.565,0
0.07,0.5,0.0,0.1607,-0.076,0.0,-0.0172,-2.693,8.011,-7.561,0
0.08,0.5,0.0,0.1751,-0.0636,0.0,-0.2253,-2.86,10.102,-9.694,0
0.09,0.5,0.0,0.1824,-0.0182,0.0,-0.3348,-3.257,12.328,-11.907,0
0.1,0.5,0.0,0.1908,0.0022,0.0,-0.0713,-3.821,14.624,-14.234,0
0.11,0.5,0.0,0.1903,0.0549,0.0,0.0581,-4.487,17.0,-16.598,0
0.12,0.5,0.0,0.1861,0.1161,0.0,-0.3946,-5.11,19.447,-19.039,0
0.13,0.5,0.0,0.1549,0.1508,0.0,-0.1365,-5.443,21.915,-21.539,0
0.14,0.5,0.0,0.187,0.1022,0.0,0.0956,-5.153,24.548,-23.956,0
0.15,0.5,0.0,0.2156,0.0436,0.0,0.4946,-4.405,27.077,-26.462,0
0.16,0.5,0.0,0.1716,0.0167,0.0,0.4873,-3.199,29.586,-29.042,0
0.17,0.5,0.0,0.1956,0.0359,0.0,0.1255,-1.729,32.158,-31.54,0
0.18,0.5,0.0,0.2174,0.0728,0.0,0.0609,-0.421,34.641,-34.04,0
0.19,0.5,0.0,0.2346,0.0728,0.0,0.1955,0.575,37.083,-36.561,0
0.2,0.5,0.0,0.2611,0.0451,0.0,0.1157,1.281,39.525,-39.027,0
0.21,0.5,0.0,0.3139,-0.0433,0.0,0.102,1.798,41.969,-41.351,0
0.22,0.5,0.0,0.3256,0.0636,0.0,0.0965,2.375,44.401,-43.733,0
0.23,0.5,0.0,0.3466,0.0894,0.0,0.0764,2.726,46.743,-46.11,0
