time_s,cmd_vel_x,cmd_vel_y,act_vel_x,act_vel_y,cmd_ang_vel_z,act_ang_vel_z,pitch_deg,arm_pitch_deg,fall_event
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.01,1.0,0.0,0.0563,-0.0002,0.0,-0.0002,-0.251,0.04,0
0.02,1.0,0.0,0.0832,-0.0031,0.0,-0.3277,-0.522,0.518,0
0.03,1.0,0.0,0.0993,0.0009,0.0,0.0713,-0.744,1.385,0
0.04,1.0,0.0,0.1068,0.004,0.0,0.448,-0.928,2.611,0
0.05,1.0,0.0,0.1344,-0.038,0.0,-0.0625,-0.942,4.349,0
0.06,1.0,0.0,0.1818,-0.0363,0.0,-0.054,-1.058,6.091,0
0.07,1.0,0.0,0.1952,-0.0391,0.0,-0.3644,-1.218,8.012,0
0.08,1.0,0.0,0.1941,-0.036,0.0,-0.0925,-1.277,10.072,0
0.09,1.0,0.0,0.2174,0.044,0.0,0.413,-1.25,12.289,0
0.1,1.0,0.0,0.2265,0.0735,0.0,-0.2792,-1.157,14.649,0
0.11,1.0,0.0,0.1815,0.097,0.0,-0.1809,-0.747,16.977,0
0.12,1.0,0.0,0.1813,0.0924,0.0,-0.209,-0.407,19.417,0
0.13,1.0,0.0,0.2317,0.0034,0.0,-0.0143,-0.346,21.945,0
0.14,1.0,0.0,0.2841,0.0337,0.0,-0.3744,-0.582,24.476,0
0.15,1.0,0.0,0.2717,0.0453,0.0,0.2285,-0.706,26.952,0
0.16,1.0,0.0,0.2891,0.0995,0.0,-0.2715,-0.709,29.509,0
0.17,1.0,0.0,0.3253,0.0825,0.0,0.4213,-0.673,32.047,0
0.18,1.0,0.0,0.3435,0.078,0.0,0.0138,-0.818,34.541,0
0.19,1.0,0.0,0.3269,0.0822,0.0,0.0712,-0.761,37.041,0
0.2,1.0,0.0,0.3647,0.0861,0.0,0.1255,-0.684,39.518,0
0.21,1.0,0.0,0.3732,0.1061,0.0,0.0505,-0.375,41.987,0
0.22,1.0,0.0,0.4243,0.0925,0.0,0.0249,-0.235,44.371,0
0.23,1.0,0.0,0.3884,0.0763,0.0,-0.0778,0.041,46.742,0
0.24,1.0,0.0,0.4395,0.0514,0.0,0.1724,0.391,49.089,0
0.25,1.0,0.0,0.4831,0.0421,0.0,0.2561,0.514,51.351,0
0.26,1.0,0.0,0.4399,0.0265,0.0,0.3119,0.901,53.598,0
0.27,1.0,0.0,0.4914,-0.0067,0.0,0.202,1.597,55.852,0
0.28,1.0,0.0,0.5176,0.0328,0.0,0.0803,2.217,57.957,0
0.29,1.0,0.0,0.5019,0.0821,0.0,0.2941,2.987,60.035,0
0.3,1.0,0.0,0.5447,0.0758,0.0,0.2755,3.715,62.05,0
0.31,1.0,0.0,0.5639,0.0418,0.0,0.0262,4.266,64.019,0
0.32,1.0,0.0,0.5722,0.0106,0.0,-0.1508,4.715,65.908,0
0.33,1.0,0.0,0.5919,-0.013,0.0,-0.0443,4.951,67.715,0
0.34,1.0,0.0,0.6278,0.0501,0.0,0.4544,4.965,69.449,0
0.35,1.0,0.0,0.6687,0.0262,0.0,-0.0095,5.012,71.115,0
0.36,1.0,0.0,0.6867,-0.0233,0.0,0.0752,5.036,72.752,0
