time_s,cmd_vel_x,cmd_vel_y,act_vel_x,act_vel_y,cmd_ang_vel_z,act_ang_vel_z,pitch_deg,arm_pitch_deg,fall_event
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.01,1.0,0.0,0.0621,-0.0016,0.0,-0.0971,-0.261,0.043,0
0.02,1.0,0.0,0.1182,0.0001,0.0,-0.1242,-0.759,0.543,0
0.03,1.0,0.0,0.167,0.0013,0.0,0.0003,-1.538,1.434,0
0.04,1.0,0.0,0.1832,-0.0064,0.0,-0.4389,-2.398,2.659,0
0.05,1.0,0.0,0.2329,0.0083,0.0,-0.2509,-2.971,4.403,0
0.06,1.0,0.0,0.2281,0.0112,0.0,-0.2333,-3.217,6.052,0
0.07,1.0,0.0,0.2241,0.0151,0.0,-0.0727,-3.3,7.965,0
0.08,1.0,0.0,0.2377,0.0175,0.0,0.0893,-3.423,10.046,0
0.09,1.0,0.0,0.2411,0.0151,0.0,-0.3163,-3.662,12.259,0
0.1,1.0,0.0,0.2619,-0.0348,0.0,-0.0301,-3.948,14.596,0
0.11,1.0,0.0,0.2678,0.105,0.0,0.1172,-3.988,17.017,0
0.12,1.0,0.0,0.241,0.145,0.0,0.1744,-3.769,19.45,0
0.13,1.0,0.0,0.2169,0.1771,0.0,0.6664,-3.088,21.915,0
0.14,1.0,0.0,0.2409,0.1618,0.0,0.7359,-1.775,24.501,0
0.15,1.0,0.0,0.2479,0.0793,0.0,0.68,0.088,27.088,0
0.16,1.0,0.0,0.2565,0.0329,0.0,0.2674,2.039,29.629,0
0.17,1.0,0.0,0.3006,0.0545,0.0,0.3498,3.706,32.123,0
0.18,1.0,0.0,0.3393,0.1265,0.0,0.4444,5.066,34.648,0
0.19,1.0,0.0,0.3652,0.1348,0.0,0.3505,6.114,37.128,0
0.2,1.0,0.0,0.3908,0.1295,0.0,0.2953,6.853,39.566,0
0.21,1.0,0.0,0.4111,0.1695,0.0,0.3549,7.297,41.971,0
0.22,1.0,0.0,0.424,0.1899,0.0,0.3467,7.443,44.34,0
0.23,1.0,0.0,0.4827,0.1227,0.0,-0.03,7.309,46.629,0
0.24,1.0,0.0,0.5349,0.0705,0.0,0.039,6.885,48.971,0
0.25,1.0,0.0,0.5508,0.1464,0.0,0.2972,6.253,51.237,0
0.26,1.0,0.0,0.6015,0.0715,0.0,0.2262,5.663,53.536,0
0.27,1.0,0.0,0.5975,0.0485,0.0,0.0785,5.137,55.732,0
0.28,1.0,0.0,0.6047,0.0695,0.0,0.0826,4.798,57.893,0
0.29,1.0,0.0,0.6042,0.1217,0.0,0.4585,4.619,59.955,0
0.3,1.0,0.0,0.6411,0.0998,0.0,0.1484,4.446,61.991,0
0.31,1.0,0.0,0.6572,-0.0146,0.0,0.0152,4.661,63.931,0
0.32,1.0,0.0,0.67,0.0458,0.0,0.0233,5.19,65.868,0
0.33,1.0,0.0,0.6895,0.0559,0.0,0.2109,5.562,67.672,0
0.34,1.0,0.0,0.6926,0.06,0.0,0.2286,5.653,69.414,0
0.35,1.0,0.0,0.7093,0.064,0.0,0.2972,5.477,71.097,0
0.36,1.0,0.0,0.7851,-0.0435,0.0,0.135,5.123,72.739,0
0.37,1.0,0.0,0.8078,-0.1035,0.0,0.6763,4.885,74.307,0
0.38,1.0,0.0,0.8163,-0.0452,0.0,0.6227,4.921,75.773,0
0.39,1.0,0.0,0.795,0.0006,0.0,0.4704,5.097,77.206,0
0.4,1.0,0.0,0.7954,-0.0114,0.0,0.1549,5.299,78.574,0
0.41,1.0,0.0,0.8367,0.0204,0.0,0.0237,5.315,79.836,0
0.42,1.0,0.0,0.8452,0.0667,0.0,0.1382,5.07,80.998,0
0.43,1.0,0.0,0.9011,0.0408,0.0,0.2798,4.571,82.088,0
0.44,1.0,0.0,0.9071,-0.0313,0.0,0.0085,4.217,83.139,0
0.45,1.0,0.0,0.9251,-0.1358,0.0,-0.0677,4.138,84.125,0
0.46,1.0,0.0,0.9556,-0.0943,0.0,0.2974,4.087,84.976,0
0.47,1.0,0.0,0.9766,-0.0837,0.0,0.2832,3.829,85.74,0
0.48,1.0,0.0,0.9811,-0.0821,0.0,0.3041,3.314,86.415,0
0.49,1.0,0.0,0.9701,-0.0789,0.0,0.3674,2.611,87.006,0
0.5,1.0,0.0,1.0022,-0.0824,0.0,-0.0542,1.902,87.565,0
0.51,1.0,0.0,1.0015,-0.0266,0.0,0.1531,1.487,88.004,0
0.52,1.0,0.0,1.0185,-0.0178,0.0,0.1916,1.032,88.35,0
0.53,1.0,0.0,0.9791,-0.0186,0.0,0.36,0.686,88.623,0
0.54,1.0,0.0,0.9828,-0.1163,0.0,-0.0274,0.651,88.84,0
0.55,1.0,0.0,0.9984,-0.0896,0.0,0.2927,0.613,88.907,0
0.56,1.0,0.0,1.0198,-0.0183,0.0,-0.2128,0.517,88.918,0
0.57,1.0,0.0,1.0,-0.0639,0.0,-0.4083,0.556,88.852,0
0.58,1.0,0.0,0.9976,-0.0377,0.0,0.0404,0.65,88.658,0
0.59,1.0,0.0,1.0167,-0.0293,0.0,-0.0074,0.588,88.382,0
0.6,1.0,0.0,1.0235,-0.0385,0.0,-0.1358,0.279,88.022,0
0.61,1.0,0.0,1.0282,-0.0411,0.0,0.0945,-0.109,87.599,0
0.62,1.0,0.0,1.0567,-0.0464,0.0,0.3064,-0.732,87.061,0
0.63,1.0,0.0,1.0652,-0.1575,0.0,-0.0097,-1.32,86.489,0
0.64,1.0,0.0,1.0692,-0.1631,0.0,0.3451,-1.833,85.788,0
0.65,1.0,0.0,1.0656,-0.0007,0.0,0.2213,-2.206,85.034,0
0.66,1.0,0.0,1.0269,0.0422,0.0,0.3018,-2.272,84.189,0
0.67,1.0,0.0,1.0331,0.0321,0.0,-0.124,-2.287,83.266,0
0.68,1.0,0.0,1.0263,0.0361,0.0,0.4012,-2.281,82.213,0
0.69,1.0,0.0,1.0591,-0.0686,0.0,-0.31,-2.296,81.148,0
0.7,1.0,0.0,1.0728,-0.0752,0.0,0.0821,-2.333,79.936,0
0.71,1.0,0.0,1.0823,-0.0673,0.0,0.2618,-2.49,78.652,0
0.72,1.0,0.0,1.0488,-0.0277,0.0,0.2785,-2.555,77.368,0
0.73,1.0,0.0,1.0804,-0.029,0.0,0.0307,-2.736,75.94,0
0.74,1.0,0.0,1.0798,0.022,0.0,-0.1042,-3.022,74.448,0
0.75,1.0,0.0,1.0255,0.0568,0.0,-0.0505,-3.071,72.884,0
0.76,1.0,0.0,1.039,0.0194,0.0,-0.2475,-3.031,71.251,0
0.77,1.0,0.0,1.0245,0.0057,0.0,0.1102,-2.972,69.536,0
0.78,1.0,0.0,1.0345,0.0075,0.0,0.1148,-3.084,67.732,0
0.79,1.0,0.0,1.0254,-0.1526,0.0,-0.0886,-3.133,66.035,0
0.8,1.0,0.0,1.0254,-0.1903,0.0,0.6235,-3.145,64.086,0
0.81,1.0,0.0,1.0367,-0.1831,0.0,0.0417,-3.193,62.112,0
0.82,1.0,0.0,1.0206,-0.0889,0.0,-0.2272,-3.205,60.077,0
0.83,1.0,0.0,1.0454,-0.09,0.0,0.1164,-3.305,57.944,0
0.84,1.0,0.0,1.0034,-0.0564,0.0,0.1632,-3.221,55.793,0
0.85,1.0,0.0,0.9644,0.081,0.0,-0.2388,-2.898,53.65,0
0.86,1.0,0.0,0.9678,0.0751,0.0,-0.4234,-2.533,51.377,0
0.87,1.0,0.0,0.9575,0.086,0.0,0.1052,-2.155,49.022,0
0.88,1.0,0.0,0.9972,-0.0362,0.0,0.0879,-2.025,46.788,0
0.89,1.0,0.0,0.9882,-0.0976,0.0,-0.2291,-1.999,44.403,0
0.9,1.0,0.0,1.0036,-0.0913,0.0,0.132,-2.121,41.9,0
