time_s,cmd_vel_x,cmd_vel_y,act_vel_x,act_vel_y,cmd_ang_vel_z,act_ang_vel_z,pitch_deg,fall_event
0.0,1.0,0.0,0.0065,0.0071,0.5,-0.0739,-0.021,0
0.01,1.0,0.0,0.0294,0.0027,0.5,0.3652,-0.028,0
0.02,1.0,0.0,0.079,0.0032,0.5,0.5041,-0.24,0
0.03,1.0,0.0,0.0935,0.0075,0.5,1.0032,-0.533,0
0.04,1.0,0.0,0.0946,-0.0109,0.5,0.4445,-0.666,0
0.05,1.0,0.0,0.146,-0.0198,0.5,0.3965,-0.908,0
0.06,1.0,0.0,0.154,-0.0174,0.5,0.6764,-1.218,0
0.07,1.0,0.0,0.155,-0.0464,0.5,0.3992,-1.429,0
0.08,1.0,0.0,0.151,-0.054,0.5,0.4978,-1.526,0
0.09,1.0,0.0,0.0997,-0.0227,0.5,0.5399,-1.346,0
0.1,1.0,0.0,0.0725,0.0139,0.5,0.6571,-0.806,0
0.11,1.0,0.0,0.1158,0.0339,0.5,0.3852,-0.352,0
0.12,1.0,0.0,0.113,0.0518,0.5,0.4839,-0.119,0
0.13,1.0,0.0,0.1523,0.0511,0.5,0.9294,-0.158,0
0.14,1.0,0.0,0.1673,0.0941,0.5,0.208,-0.251,0
0.15,1.0,0.0,0.1275,0.0987,0.5,0.2327,-0.079,0
0.16,1.0,0.0,0.1975,0.1024,0.5,0.5949,-0.023,0
0.17,1.0,0.0,0.2449,0.0785,0.5,0.1536,-0.248,0
0.18,1.0,0.0,0.2531,0.0593,0.5,0.941,-0.535,0
0.19,1.0,0.0,0.2876,0.0258,0.5,0.3472,-0.977,0
0.2,1.0,0.0,0.2841,0.0663,0.5,0.4482,-1.258,0
0.21,1.0,0.0,0.295,0.056,0.5,0.9975,-1.558,0
0.22,1.0,0.0,0.2957,0.019,0.5,0.3865,-1.6,0
0.23,1.0,0.0,0.3115,0.0632,0.5,0.4291,-1.334,0
0.24,1.0,0.0,0.3227,0.0614,0.5,0.2279,-0.784,0
0.25,1.0,0.0,0.3483,0.0544,0.5,0.1603,-0.244,0
0.26,1.0,0.0,0.3631,0.0771,0.5,0.3779,0.165,0
0.27,1.0,0.0,0.383,0.0338,0.5,0.333,0.513,0
0.28,1.0,0.0,0.3929,-0.0192,0.5,0.3396,0.756,0
0.29,1.0,0.0,0.4423,0.0167,0.5,0.1967,0.729,0
0.3,1.0,0.0,0.4275,0.0578,0.5,0.5974,0.729,0
0.31,1.0,0.0,0.4799,0.0274,0.5,0.7531,0.674,0
0.32,1.0,0.0,0.4827,0.0633,0.5,0.4608,0.638,0
0.33,1.0,0.0,0.4815,0.0667,0.5,0.5457,0.421,0
0.34,1.0,0.0,0.5412,0.0482,0.5,0.4374,-0.107,0
0.35,1.0,0.0,0.5694,0.0804,0.5,0.4586,-0.442,0
0.36,1.0,0.0,0.5749,0.0902,0.5,0.3829,-0.718,0
