time_s,cmd_vel_x,cmd_vel_y,act_vel_x,act_vel_y,cmd_ang_vel_z,act_ang_vel_z,pitch_deg,fall_event
0.0,1.0,0.0,0.0291,0.0061,0.5,0.1238,0.027,0
0.01,1.0,0.0,0.0556,0.0072,0.5,0.5537,0.043,0
0.02,1.0,0.0,0.0833,0.0014,0.5,0.1393,0.007,0
0.03,1.0,0.0,0.1217,0.0166,0.5,0.3427,-0.109,0
0.04,1.0,0.0,0.1534,-0.1609,0.5,0.377,-0.322,0
0.05,1.0,0.0,0.1933,-0.0858,0.5,0.1097,-0.683,0
0.06,1.0,0.0,0.1993,-0.0884,0.5,0.324,-1.064,0
0.07,1.0,0.0,0.1861,-0.0921,0.5,0.481,-1.406,0
0.08,1.0,0.0,0.1501,-0.0977,0.5,0.2502,-1.513,0
0.09,1.0,0.0,0.1398,-0.0987,0.5,0.2941,-1.47,0
0.1,1.0,0.0,0.1332,-0.107,0.5,-0.0108,-1.43,0
0.11,1.0,0.0,0.1225,-0.1475,0.5,-0.2086,-1.098,0
0.12,1.0,0.0,0.0899,-0.2116,0.5,-0.2902,-0.408,0
0.13,1.0,0.0,0.146,-0.0712,0.5,0.0828,0.663,0
0.14,1.0,0.0,0.149,0.0295,0.5,0.246,2.217,0
0.15,1.0,0.0,0.146,0.0454,0.5,0.2473,4.062,0
0.16,1.0,0.0,0.1681,0.1025,0.5,-0.028,6.011,0
0.17,1.0,0.0,0.1836,0.063,0.5,0.4049,7.922,0
0.18,1.0,0.0,0.2029,0.0248,0.5,0.3964,9.655,0
0.19,1.0,0.0,0.2249,0.0303,0.5,0.412,11.115,0
0.2,1.0,0.0,0.2597,0.0404,0.5,0.222,12.281,0
0.21,1.0,0.0,0.2867,0.0322,0.5,0.1908,13.148,0
0.22,1.0,0.0,0.3158,-0.0323,0.5,0.3507,13.756,0
0.23,1.0,0.0,0.3412,-0.0621,0.5,0.4651,14.123,0
0.24,1.0,0.0,0.3761,-0.077,0.5,0.466,14.197,0
0.25,1.0,0.0,0.4242,-0.0807,0.5,0.3764,13.97,0
0.26,1.0,0.0,0.436,-0.1771,0.5,0.4852,13.528,0
0.27,1.0,0.0,0.4806,-0.1317,0.5,0.6983,12.926,0
0.28,1.0,0.0,0.4828,-0.1256,0.5,0.1819,12.285,0
0.29,1.0,0.0,0.5291,-0.141,0.5,0.0382,11.438,0
0.3,1.0,0.0,0.5855,-0.0456,0.5,0.5928,10.542,0
0.31,1.0,0.0,0.5824,-0.0759,0.5,0.3634,9.808,0
0.32,1.0,0.0,0.5624,-0.0687,0.5,0.3933,9.347,0
0.33,1.0,0.0,0.6274,0.0163,0.5,0.0022,8.982,0
0.34,1.0,0.0,0.6185,0.0806,0.5,0.2384,8.858,0
0.35,1.0,0.0,0.6478,0.0744,0.5,-0.1618,8.716,0
0.36,1.0,0.0,0.6661,0.0594,0.5,0.1874,8.465,0
0.37,1.0,0.0,0.6777,-0.0648,0.5,0.2902,8.04,0
0.38,1.0,0.0,0.7194,-0.0649,0.5,0.4906,7.391,0
0.39,1.0,0.0,0.744,-0.0427,0.5,0.1058,6.611,0
0.4,1.0,0.0,0.7908,0.0261,0.5,0.5295,5.874,0
0.41,1.0,0.0,0.8212,0.0956,0.5,0.0177,5.2,0
0.42,1.0,0.0,0.7873,0.1049,0.5,0.0529,4.836,0
0.43,1.0,0.0,0.8073,0.139,0.5,0.1985,4.632,0
0.44,1.0,0.0,0.8254,0.1635,0.5,0.5898,4.656,0
0.45,1.0,0.0,0.8164,0.0771,0.5,0.4285,4.709,0
0.46,1.0,0.0,0.8326,0.0719,0.5,0.0561,4.561,0
0.47,1.0,0.0,0.8821,0.1229,0.5,0.2447,4.196,0
0.48,1.0,0.0,0.902,0.1729,0.5,0.5694,3.763,0
0.49,1.0,0.0,0.8982,0.1632,0.5,-0.0041,3.282,0
0.5,1.0,0.0,0.9057,0.0919,0.5,0.6742,2.939,0
0.51,1.0,0.0,0.914,0.0466,0.5,0.4479,2.441,0
0.52,1.0,0.0,0.9202,0.045,0.5,0.1892,1.804,0
0.53,1.0,0.0,0.9569,0.1431,0.5,0.4765,1.25,0
0.54,1.0,0.0,0.9345,0.1607,0.5,0.327,0.968,0
0.55,1.0,0.0,0.9193,0.145,0.5,0.1591,0.867,0
0.56,1.0,0.0,0.993,0.2688,0.5,0.092,0.701,0
0.57,1.0,0.0,0.9619,0.182,0.5,0.4706,0.548,0
0.58,1.0,0.0,0.9678,0.1353,0.5,0.3665,0.226,0
0.59,1.0,0.0,0.9751,0.1344,0.5,0.2042,-0.324,0
0.6,1.0,0.0,0.9559,0.1289,0.5,0.4174,-0.899,0
0.61,1.0,0.0,0.9436,0.1596,0.5,0.4943,-1.262,0
0.62,1.0,0.0,0.9758,0.0952,0.5,0.9191,-1.464,0
0.63,1.0,0.0,0.9621,0.0926,0.5,0.422,-1.648,0
0.64,1.0,0.0,0.9484,0.0808,0.5,-0.0914,-1.859,0
0.65,1.0,0.0,0.9601,0.1201,0.5,0.5041,-2.042,0
0.66,1.0,0.0,0.9554,0.1136,0.5,-0.0188,-2.263,0
0.67,1.0,0.0,0.9646,0.0883,0.5,0.6747,-2.438,0
0.68,1.0,0.0,0.9675,0.1055,0.5,0.129,-2.586,0
0.69,1.0,0.0,0.9951,0.0961,0.5,0.2581,-2.947,0
0.7,1.0,0.0,1.0132,0.1029,0.5,0.5754,-3.375,0
0.71,1.0,0.0,1.0049,-0.0297,0.5,0.9986,-3.704,0
0.72,1.0,0.0,1.0023,-0.0325,0.5,0.3673,-3.996,0
0.73,1.0,0.0,0.9662,-0.0397,0.5,0.5227,-4.06,0
0.74,1.0,0.0,0.9982,0.067,0.5,0.4839,-4.049,0
0.75,1.0,0.0,0.9815,0.0829,0.5,0.5784,-3.918,0
0.76,1.0,0.0,0.9935,-0.0018,0.5,0.5076,-3.945,0
0.77,1.0,0.0,1.0154,0.0459,0.5,0.363,-4.249,0
0.78,1.0,0.0,0.9983,0.0428,0.5,0.7979,-4.596,0
0.79,1.0,0.0,1.0111,0.1202,0.5,0.13,-4.935,0
0.8,1.0,0.0,1.0009,0.0823,0.5,0.563,-5.058,0
0.81,1.0,0.0,0.9961,0.0246,0.5,0.2862,-5.034,0
0.82,1.0,0.0,1.001,0.0249,0.5,0.7168,-5.0,0
0.83,1.0,0.0,1.0267,0.0377,0.5,0.4899,-5.2,0
0.84,1.0,0.0,1.0236,-0.0488,0.5,1.1047,-5.44,0
0.85,1.0,0.0,1.0316,-0.0416,0.5,0.534,-5.649,0
0.86,1.0,0.0,0.9986,-0.0052,0.5,0.5217,-5.616,0
0.87,1.0,0.0,1.035,-0.0181,0.5,0.5464,-5.744,0
0.88,1.0,0.0,1.0033,-0.0236,0.5,0.3925,-5.872,0
0.89,1.0,0.0,1.0154,0.0155,0.5,0.8591,-5.979,0
0.9,1.0,0.0,0.9985,0.0051,0.5,0.6259,-5.868,0
0.91,1.0,0.0,0.9933,0.027,0.5,0.3915,-5.606,0
0.92,1.0,0.0,0.9928,0.0246,0.5,0.753,-5.359,0
0.93,1.0,0.0,1.0097,0.0241,0.5,0.5983,-5.323,0
0.94,1.0,0.0,1.0061,0.0624,0.5,0.4801,-5.551,0
0.95,1.0,0.0,1.0341,-0.0014,0.5,0.5527,-6.053,0
0.96,1.0,0.0,1.0381,-0.0323,0.5,0.4087,-6.357,0
0.97,1.0,0.0,1.0228,0.0202,0.5,0.5892,-6.334,0
0.98,1.0,0.0,0.9969,0.0166,0.5,0.5111,-6.05,0
0.99,1.0,0.0,0.9941,0.0103,0.5,0.7777,-5.728,0
1.0,1.0,0.0,0.9888,0.0044,0.5,0.3048,-5.47,0
1.01,1.0,0.0,1.0,0.0008,0.5,0.4848,-5.401,0
1.02,1.0,0.0,1.0187,-0.0157,0.5,0.6654,-5.4,0
1.03,1.0,0.0,1.0266,-0.0245,0.5,0.3429,-5.482,0
1.04,1.0,0.0,1.0308,-0.031,0.5,0.8816,-5.657,0
1.05,1.0,0.0,1.0115,0.0627,0.5,0.3357,-5.707,0
1.06,1.0,0.0,0.979,0.0811,0.5,0.4797,-5.458,0
1.07,1.0,0.0,1.0148,0.0706,0.5,0.3814,-5.372,0
1.08,1.0,0.0,1.0298,-0.0153,0.5,0.6516,-5.334,0
1.09,1.0,0.0,1.0206,-0.0218,0.5,0.2202,-5.253,0
1.1,1.0,0.0,1.0164,-0.0202,0.5,0.7212,-5.181,0
1.11,1.0,0.0,1.0104,-0.0273,0.5,0.7384,-5.182,0
1.12,1.0,0.0,1.0249,0.0485,0.5,0.0886,-5.178,0
1.13,1.0,0.0,1.0293,0.0447,0.5,0.6818,-5.156,0
1.14,1.0,0.0,1.0065,0.0381,0.5,0.3542,-5.039,0
1.15,1.0,0.0,1.0087,0.044,0.5,0.846,-4.868,0
1.16,1.0,0.0,1.003,0.1249,0.5,0.1989,-4.667,0
1.17,1.0,0.0,1.0381,0.0333,0.5,0.4039,-4.604,0
1.18,1.0,0.0,1.0409,0.0148,0.5,0.6041,-4.71,0
1.19,1.0,0.0,1.0279,0.0143,0.5,0.2301,-4.825,0
1.2,1.0,0.0,1.0345,-0.0395,0.5,0.8032,-4.896,0
1.21,1.0,0.0,1.0108,-0.0873,0.5,0.4554,-4.703,0
1.22,1.0,0.0,1.0247,-0.0912,0.5,0.946,-4.451,0
1.23,1.0,0.0,1.0256,0.0271,0.5,0.1892,-4.168,0
1.24,1.0,0.0,1.0158,0.0745,0.5,0.6332,-3.801,0
1.25,1.0,0.0,1.0488,0.063,0.5,0.5683,-3.656,0
1.26,1.0,0.0,1.0752,-0.0286,0.5,0.6897,-3.795,0
1.27,1.0,0.0,1.0565,-0.0256,0.5,0.157,-3.963,0
1.28,1.0,0.0,1.0641,-0.0356,0.5,0.7873,-4.136,0
1.29,1.0,0.0,1.0331,0.0452,0.5,0.4853,-4.093,0
1.3,1.0,0.0,1.0194,0.0658,0.5,0.259,-3.841,0
1.31,1.0,0.0,1.0477,0.0331,0.5,0.5736,-3.671,0
1.32,1.0,0.0,1.066,-0.0834,0.5,0.8702,-3.599,0
1.33,1.0,0.0,1.0496,-0.1227,0.5,0.4553,-3.568,0
1.34,1.0,0.0,1.0607,-0.0274,0.5,0.776,-3.539,0
1.35,1.0,0.0,1.0181,0.0201,0.5,0.5117,-3.293,0
1.36,1.0,0.0,1.0366,0.0181,0.5,0.4067,-3.153,0
1.37,1.0,0.0,1.0442,0.0543,0.5,0.5904,-3.225,0
1.38,1.0,0.0,1.0216,0.0326,0.5,0.3108,-3.181,0
1.39,1.0,0.0,1.0316,0.0358,0.5,0.7296,-3.052,0
1.4,1.0,0.0,1.0384,0.0307,0.5,0.3637,-3.031,0
