time_s,cmd_vel_x,cmd_vel_y,act_vel_x,act_vel_y,cmd_ang_vel_z,act_ang_vel_z,pitch_deg,fall_event
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.01,1.0,0.0,0.0608,-0.0001,0.0,-0.0049,-0.247,0
0.02,1.0,0.0,0.1103,0.0007,0.0,0.053,-0.7,0
0.03,1.0,0.0,0.1271,-0.0027,0.0,-0.31,-1.185,0
0.04,1.0,0.0,0.1348,0.0006,0.0,0.0288,-1.608,0
0.05,1.0,0.0,0.2069,-0.0109,0.0,0.0267,-2.046,0
0.06,1.0,0.0,0.2361,0.0014,0.0,-0.3269,-2.53,0
0.07,1.0,0.0,0.2424,0.0046,0.0,-0.081,-2.955,0
0.08,1.0,0.0,0.2299,0.0053,0.0,-0.0622,-3.103,0
0.09,1.0,0.0,0.2553,0.0063,0.0,-0.0552,-3.312,0
0.1,1.0,0.0,0.2412,0.0472,0.0,0.2899,-3.306,0
0.11,1.0,0.0,0.2569,-0.0601,0.0,-0.3139,-3.129,0
0.12,1.0,0.0,0.2559,-0.037,0.0,-0.1178,-3.023,0
0.13,1.0,0.0,0.2905,-0.0904,0.0,-0.2986,-2.94,0
0.14,1.0,0.0,0.2876,-0.0696,0.0,0.1506,-2.799,0
0.15,1.0,0.0,0.304,-0.0679,0.0,-0.129,-2.558,0
0.16,1.0,0.0,0.277,-0.104,0.0,-0.2294,-1.995,0
0.17,1.0,0.0,0.3243,-0.0387,0.0,0.0649,-1.472,0
0.18,1.0,0.0,0.3796,-0.0309,0.0,0.2776,-1.042,0
0.19,1.0,0.0,0.4172,0.0055,0.0,0.0089,-0.82,0
0.2,1.0,0.0,0.398,0.0584,0.0,0.0893,-0.493,0
0.21,1.0,0.0,0.4476,0.0466,0.0,0.0568,-0.259,0
0.22,1.0,0.0,0.4547,0.0333,0.0,-0.2816,-0.114,0
0.23,1.0,0.0,0.475,-0.0138,0.0,0.0631,-0.034,0
0.24,1.0,0.0,0.4832,-0.0021,0.0,-0.223,0.069,0
0.25,1.0,0.0,0.4919,-0.0241,0.0,0.0225,0.097,0
0.26,1.0,0.0,0.5365,0.0528,0.0,-0.3237,0.023,0
0.27,1.0,0.0,0.5407,0.0707,0.0,0.2496,0.137,0
0.28,1.0,0.0,0.5784,0.0331,0.0,-0.021,0.226,0
0.29,1.0,0.0,0.5998,0.0836,0.0,-0.0882,0.434,0
0.3,1.0,0.0,0.6092,0.0408,0.0,0.1373,0.65,0
0.31,1.0,0.0,0.5936,0.0054,0.0,-0.2284,0.901,0
0.32,1.0,0.0,0.6276,0.0776,0.0,0.4107,1.065,0
0.33,1.0,0.0,0.6156,0.0981,0.0,-0.0538,1.279,0
0.34,1.0,0.0,0.7087,0.0483,0.0,-0.133,1.27,0
0.35,1.0,0.0,0.7008,0.0664,0.0,0.1356,1.077,0
0.36,1.0,0.0,0.7085,0.0674,0.0,0.2308,0.676,0
0.37,1.0,0.0,0.7356,0.1071,0.0,-0.1156,0.215,0
0.38,1.0,0.0,0.8245,-0.0214,0.0,0.115,-0.437,0
0.39,1.0,0.0,0.7933,-0.0511,0.0,0.1005,-0.927,0
0.4,1.0,0.0,0.8,-0.0506,0.0,0.0435,-1.399,0
0.41,1.0,0.0,0.832,0.0247,0.0,0.2824,-1.828,0
0.42,1.0,0.0,0.8,0.0774,0.0,0.1887,-2.089,0
0.43,1.0,0.0,0.8364,-0.0211,0.0,0.2616,-2.283,0
0.44,1.0,0.0,0.818,-0.0159,0.0,0.0209,-2.447,0
0.45,1.0,0.0,0.8313,-0.0082,0.0,0.0033,-2.7,0
0.46,1.0,0.0,0.892,-0.0445,0.0,0.0272,-3.101,0
0.47,1.0,0.0,0.8727,-0.0512,0.0,-0.2027,-3.572,0
0.48,1.0,0.0,0.9174,-0.0553,0.0,-0.1081,-4.243,0
0.49,1.0,0.0,0.9178,0.0192,0.0,0.0281,-4.679,0
0.5,1.0,0.0,0.9248,0.0332,0.0,-0.0669,-5.121,0
0.51,1.0,0.0,0.9343,-0.0494,0.0,0.0785,-5.406,0
0.52,1.0,0.0,0.9567,-0.0138,0.0,-0.2728,-5.448,0
0.53,1.0,0.0,0.9094,0.0279,0.0,-0.2206,-5.145,0
0.54,1.0,0.0,0.9166,0.0502,0.0,-0.0633,-4.976,0
0.55,1.0,0.0,0.9469,0.077,0.0,0.0286,-4.935,0
0.56,1.0,0.0,0.973,0.0076,0.0,0.091,-5.057,0
0.57,1.0,0.0,0.9504,0.0157,0.0,-0.1065,-5.258,0
0.58,1.0,0.0,0.9929,-0.0496,0.0,-0.2138,-5.669,0
0.59,1.0,0.0,1.0036,0.023,0.0,0.1215,-6.218,0
0.6,1.0,0.0,0.989,0.046,0.0,-0.5758,-6.778,0
0.61,1.0,0.0,1.0307,-0.0779,0.0,-0.4137,-7.17,0
0.62,1.0,0.0,1.0403,-0.0871,0.0,-0.3991,-7.32,0
0.63,1.0,0.0,1.0359,-0.0683,0.0,0.3229,-7.369,0
0.64,1.0,0.0,1.04,-0.0053,0.0,0.2259,-7.43,0
0.65,1.0,0.0,1.0225,0.0287,0.0,-0.3031,-7.458,0
0.66,1.0,0.0,0.9967,0.0925,0.0,0.1152,-7.449,0
0.67,1.0,0.0,1.0321,0.0547,0.0,0.0033,-7.582,0
0.68,1.0,0.0,1.0131,-0.0117,0.0,-0.0827,-7.55,0
0.69,1.0,0.0,1.0494,0.0017,0.0,-0.0957,-7.688,0
0.7,1.0,0.0,1.0205,-0.0018,0.0,0.3662,-7.696,0
0.71,1.0,0.0,1.0615,-0.0768,0.0,-0.0384,-7.682,0
0.72,1.0,0.0,1.0472,0.0082,0.0,-0.0003,-7.457,0
0.73,1.0,0.0,0.9835,0.0495,0.0,-0.1226,-6.9,0
0.74,1.0,0.0,1.0143,0.007,0.0,-0.2786,-6.49,0
0.75,1.0,0.0,1.0224,0.0011,0.0,-0.1672,-6.38,0
0.76,1.0,0.0,1.0341,0.0109,0.0,0.2845,-6.491,0
0.77,1.0,0.0,1.1197,-0.0413,0.0,0.1623,-6.848,0
0.78,1.0,0.0,1.0642,-0.0128,0.0,0.0662,-7.013,0
0.79,1.0,0.0,1.0885,0.0146,0.0,-0.0551,-7.034,0
0.8,1.0,0.0,1.08,0.0149,0.0,-0.1714,-7.076,0
0.81,1.0,0.0,1.0496,0.002,0.0,-0.2174,-7.132,0
0.82,1.0,0.0,1.0247,0.0118,0.0,0.1822,-7.233,0
0.83,1.0,0.0,1.0731,0.0382,0.0,0.2626,-7.496,0
0.84,1.0,0.0,1.0776,0.0857,0.0,-0.2526,-7.568,0
0.85,1.0,0.0,1.0492,0.0702,0.0,-0.0048,-7.556,0
0.86,1.0,0.0,1.0629,0.0759,0.0,-0.2534,-7.75,0
0.87,1.0,0.0,1.0339,0.0763,0.0,0.0238,-7.912,0
0.88,1.0,0.0,1.0679,0.1223,0.0,-0.0841,-7.857,0
0.89,1.0,0.0,1.0852,-0.0226,0.0,-0.2089,-7.512,0
0.9,1.0,0.0,1.0881,-0.0701,0.0,0.1692,-7.114,0
