time_s,cmd_vel_x,cmd_vel_y,act_vel_x,act_vel_y,cmd_ang_vel_z,act_ang_vel_z,pitch_deg,fall_event
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.01,1.0,0.0,0.0679,-0.0015,0.0,-0.0987,-0.262,0
0.02,1.0,0.0,0.1294,-0.0003,0.0,-0.0747,-0.789,0
0.03,1.0,0.0,0.1712,0.0,0.0,0.0941,-1.595,0
0.04,1.0,0.0,0.1964,-0.0016,0.0,-0.134,-2.527,0
0.05,1.0,0.0,0.271,0.0012,0.0,-0.385,-3.333,0
0.06,1.0,0.0,0.2984,0.0059,0.0,0.0141,-4.104,0
0.07,1.0,0.0,0.2689,0.005,0.0,-0.1229,-4.618,0
0.08,1.0,0.0,0.2402,0.005,0.0,-0.1455,-4.832,0
0.09,1.0,0.0,0.2122,0.0058,0.0,-0.1079,-4.769,0
0.1,1.0,0.0,0.1887,0.0053,0.0,0.0537,-4.512,0
0.11,1.0,0.0,0.2447,0.0473,0.0,-0.4863,-4.206,0
0.12,1.0,0.0,0.2693,0.1558,0.0,0.1688,-3.898,0
0.13,1.0,0.0,0.2494,0.1446,0.0,0.9052,-3.354,0
0.14,1.0,0.0,0.2593,0.0595,0.0,1.0735,-2.197,0
0.15,1.0,0.0,0.283,0.1073,0.0,1.0157,-0.516,0
0.16,1.0,0.0,0.2862,0.1358,0.0,0.6521,1.215,0
0.17,1.0,0.0,0.286,0.1715,0.0,0.2309,2.899,0
0.18,1.0,0.0,0.2996,0.1889,0.0,0.2156,4.351,0
0.19,1.0,0.0,0.3276,0.1878,0.0,0.2931,5.497,0
0.2,1.0,0.0,0.371,0.1474,0.0,0.1151,6.335,0
0.21,1.0,0.0,0.4209,0.1261,0.0,0.0076,6.885,0
0.22,1.0,0.0,0.44,0.1422,0.0,0.2153,7.163,0
0.23,1.0,0.0,0.5007,0.0603,0.0,0.0811,7.148,0
0.24,1.0,0.0,0.5368,0.0382,0.0,0.2771,6.866,0
0.25,1.0,0.0,0.5484,0.0584,0.0,0.1652,6.336,0
0.26,1.0,0.0,0.5896,0.0613,0.0,0.3345,5.52,0
0.27,1.0,0.0,0.6316,0.0161,0.0,-0.0588,4.601,0
0.28,1.0,0.0,0.6556,0.0561,0.0,-0.1757,3.711,0
0.29,1.0,0.0,0.6552,0.0626,0.0,0.2414,2.774,0
0.3,1.0,0.0,0.6616,0.0297,0.0,0.2014,2.022,0
0.31,1.0,0.0,0.6799,-0.0799,0.0,0.1274,1.606,0
0.32,1.0,0.0,0.7051,-0.0107,0.0,-0.1523,1.382,0
0.33,1.0,0.0,0.7342,-0.0536,0.0,0.1178,1.238,0
0.34,1.0,0.0,0.7505,-0.0766,0.0,0.334,1.002,0
0.35,1.0,0.0,0.7402,-0.0729,0.0,-0.0253,0.692,0
0.36,1.0,0.0,0.7515,-0.0533,0.0,0.4773,0.389,0
0.37,1.0,0.0,0.7901,0.0046,0.0,-0.0905,0.197,0
0.38,1.0,0.0,0.8042,-0.0047,0.0,0.075,-0.085,0
0.39,1.0,0.0,0.8079,0.0015,0.0,0.3842,-0.498,0
0.4,1.0,0.0,0.856,0.0138,0.0,-0.2947,-0.879,0
0.41,1.0,0.0,0.8757,-0.0187,0.0,0.3889,-1.235,0
0.42,1.0,0.0,0.8555,-0.0099,0.0,-0.2088,-1.557,0
0.43,1.0,0.0,0.9141,-0.0881,0.0,0.3005,-1.883,0
0.44,1.0,0.0,0.8863,-0.1053,0.0,0.2162,-2.059,0
0.45,1.0,0.0,0.9075,-0.012,0.0,0.2506,-2.173,0
0.46,1.0,0.0,0.9334,-0.0051,0.0,-0.3058,-2.222,0
0.47,1.0,0.0,0.9368,-0.022,0.0,0.2793,-2.29,0
0.48,1.0,0.0,0.943,-0.0169,0.0,0.1902,-2.525,0
0.49,1.0,0.0,0.9451,-0.0716,0.0,0.1158,-2.661,0
0.5,1.0,0.0,0.9357,-0.0222,0.0,0.2097,-2.596,0
0.51,1.0,0.0,0.927,0.0478,0.0,-0.105,-2.435,0
0.52,1.0,0.0,0.9646,0.0197,0.0,0.0568,-2.481,0
0.53,1.0,0.0,0.9834,0.0381,0.0,0.169,-2.768,0
0.54,1.0,0.0,0.9598,0.0429,0.0,-0.0886,-2.965,0
0.55,1.0,0.0,1.0049,-0.138,0.0,0.121,-2.947,0
0.56,1.0,0.0,1.0201,-0.1246,0.0,0.3774,-2.909,0
0.57,1.0,0.0,1.0073,-0.0829,0.0,-0.1776,-2.879,0
0.58,1.0,0.0,1.0043,-0.0867,0.0,0.3513,-2.847,0
0.59,1.0,0.0,1.032,-0.1054,0.0,0.2322,-2.969,0
0.6,1.0,0.0,1.0041,-0.0629,0.0,0.1311,-2.951,0
0.61,1.0,0.0,0.9981,-0.0058,0.0,-0.1709,-2.799,0
0.62,1.0,0.0,1.0203,-0.0516,0.0,0.336,-2.666,0
0.63,1.0,0.0,1.0633,-0.0388,0.0,0.0913,-2.71,0
0.64,1.0,0.0,1.0792,-0.0422,0.0,0.2522,-3.033,0
0.65,1.0,0.0,1.0473,-0.0883,0.0,0.2224,-3.211,0
0.66,1.0,0.0,1.0503,-0.1062,0.0,0.2407,-3.126,0
0.67,1.0,0.0,1.0225,0.0014,0.0,-0.2345,-2.804,0
0.68,1.0,0.0,1.0393,-0.0118,0.0,0.2497,-2.431,0
0.69,1.0,0.0,1.077,-0.0333,0.0,0.0396,-2.254,0
0.7,1.0,0.0,1.08,-0.0219,0.0,0.0762,-2.365,0
0.71,1.0,0.0,1.07,0.0567,0.0,-0.1926,-2.545,0
0.72,1.0,0.0,1.0754,0.038,0.0,0.4147,-2.718,0
0.73,1.0,0.0,1.0697,0.0391,0.0,-0.3036,-2.914,0
0.74,1.0,0.0,1.0811,0.0823,0.0,0.1811,-3.088,0
0.75,1.0,0.0,1.0851,-0.0623,0.0,0.3507,-3.099,0
0.76,1.0,0.0,1.0771,-0.0621,0.0,-0.1388,-3.045,0
0.77,1.0,0.0,1.0545,-0.0273,0.0,0.2591,-2.969,0
0.78,1.0,0.0,1.0738,0.0013,0.0,0.161,-3.01,0
0.79,1.0,0.0,1.0797,0.0997,0.0,-0.1421,-3.114,0
0.8,1.0,0.0,1.0762,0.0316,0.0,-0.1558,-3.166,0
0.81,1.0,0.0,1.1016,0.0395,0.0,-0.1499,-3.344,0
0.82,1.0,0.0,1.0687,0.0391,0.0,0.0051,-3.397,0
0.83,1.0,0.0,1.0416,0.0411,0.0,0.0509,-3.153,0
0.84,1.0,0.0,1.0803,-0.0273,0.0,-0.2922,-2.951,0
0.85,1.0,0.0,1.0999,-0.1576,0.0,0.3831,-2.744,0
0.86,1.0,0.0,1.1047,-0.141,0.0,0.1731,-2.647,0
0.87,1.0,0.0,1.0721,-0.0046,0.0,-0.4394,-2.599,0
0.88,1.0,0.0,1.0599,0.0203,0.0,0.1119,-2.53,0
0.89,1.0,0.0,1.0814,0.0157,0.0,-0.0477,-2.656,0
0.9,1.0,0.0,1.0724,-0.0059,0.0,-0.2012,-2.798,0
0.91,1.0,0.0,1.0604,-0.0139,0.0,0.1607,-2.881,0
0.92,1.0,0.0,1.0712,-0.0193,0.0,-0.2696,-2.94,0
0.93,1.0,0.0,1.0713,-0.1099,0.0,0.3553,-2.966,0
0.94,1.0,0.0,1.086,-0.0606,0.0,-0.2019,-3.107,0
0.95,1.0,0.0,1.0819,-0.0632,0.0,0.4065,-3.311,0
0.96,1.0,0.0,1.0914,-0.0366,0.0,-0.3107,-3.534,0
0.97,1.0,0.0,1.0533,0.0355,0.0,-0.1402,-3.481,0
0.98,1.0,0.0,1.0649,0.0419,0.0,0.1786,-3.38,0
0.99,1.0,0.0,1.065,0.0378,0.0,-0.1641,-3.393,0
1.0,1.0,0.0,1.0832,-0.0127,0.0,-0.0353,-3.554,0
1.01,1.0,0.0,1.0546,-0.0762,0.0,0.0479,-3.559,0
1.02,1.0,0.0,1.0695,-0.0556,0.0,-0.0919,-3.527,0
1.03,1.0,0.0,1.0676,-0.05,0.0,0.3137,-3.597,0
1.04,1.0,0.0,1.0722,0.0412,0.0,-0.325,-3.671,0
1.05,1.0,0.0,1.056,0.0692,0.0,0.0615,-3.576,0
1.06,1.0,0.0,1.0757,0.0651,0.0,-0.3293,-3.559,0
1.07,1.0,0.0,1.0604,0.0662,0.0,0.2402,-3.563,0
1.08,1.0,0.0,1.0615,0.0105,0.0,-0.2736,-3.521,0
1.09,1.0,0.0,1.0621,-0.0396,0.0,0.5672,-3.398,0
1.1,1.0,0.0,1.0518,-0.0363,0.0,-0.0752,-3.291,0
1.11,1.0,0.0,1.0726,-0.085,0.0,0.1398,-3.396,0
1.12,1.0,0.0,1.0694,0.0078,0.0,-0.4897,-3.511,0
1.13,1.0,0.0,1.0808,0.0383,0.0,0.1131,-3.634,0
1.14,1.0,0.0,1.0439,0.0391,0.0,-0.0164,-3.566,0
1.15,1.0,0.0,1.0879,-0.0579,0.0,0.0424,-3.609,0
1.16,1.0,0.0,1.0787,-0.0265,0.0,0.2001,-3.748,0
1.17,1.0,0.0,1.0802,-0.0487,0.0,-0.1339,-3.902,0
1.18,1.0,0.0,1.0419,-0.0494,0.0,0.0428,-3.781,0
1.19,1.0,0.0,1.0738,-0.0475,0.0,0.0051,-3.762,0
1.2,1.0,0.0,1.079,0.0084,0.0,0.0408,-3.921,0
1.21,1.0,0.0,1.0678,0.086,0.0,-0.27,-4.031,0
1.22,1.0,0.0,1.0785,0.0352,0.0,0.3395,-4.083,0
1.23,1.0,0.0,1.0745,0.0138,0.0,-0.3365,-4.096,0
1.24,1.0,0.0,1.0689,0.0132,0.0,0.2006,-4.121,0
1.25,1.0,0.0,1.0889,0.1336,0.0,-0.2686,-4.233,0
1.26,1.0,0.0,1.0655,0.1543,0.0,-0.1148,-4.128,0
1.27,1.0,0.0,1.0793,0.0205,0.0,0.1555,-4.05,0
1.28,1.0,0.0,1.0714,0.0051,0.0,-0.2191,-4.058,0
1.29,1.0,0.0,1.052,0.0139,0.0,0.181,-4.072,0
1.3,1.0,0.0,1.0455,0.0131,0.0,0.1655,-4.108,0
1.31,1.0,0.0,1.0152,0.0128,0.0,-0.2603,-4.078,0
1.32,1.0,0.0,0.9848,0.0713,0.0,-0.3993,-3.824,0
1.33,1.0,0.0,0.9908,0.0089,0.0,0.3182,-3.392,0
1.34,1.0,0.0,1.0174,-0.07,0.0,0.1885,-3.022,0
1.35,1.0,0.0,1.0471,-0.0655,0.0,0.1241,-2.944,0
1.36,1.0,0.0,1.0371,-0.0686,0.0,-0.1807,-2.97,0
1.37,1.0,0.0,1.0449,-0.0081,0.0,0.4283,-2.956,0
1.38,1.0,0.0,1.044,0.0117,0.0,-0.1721,-2.911,0
1.39,1.0,0.0,1.0532,0.0064,0.0,-0.1513,-2.968,0
