time_s,cmd_vel_x,cmd_vel_y,act_vel_x,act_vel_y,cmd_ang_vel_z,act_ang_vel_z,pitch_deg,fall_event
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.01,0.0,0.0,0.0065,0.0071,0.0,-0.0739,-0.021,0
0.02,0.0,0.0,0.0229,-0.0075,0.0,0.009,-0.031,0
0.03,0.0,0.0,0.0436,0.0065,0.0,-0.0855,-0.063,0
0.04,0.0,0.0,0.0565,-0.0002,0.0,0.7855,-0.056,0
0.05,0.0,0.0,0.0746,-0.0403,0.0,0.3095,-0.068,0
0.06,0.0,0.0,0.1004,-0.0534,0.0,-0.5088,-0.072,0
0.07,0.0,0.0,0.1107,-0.013,0.0,0.2863,-0.044,0
0.08,0.0,0.0,0.1059,-0.0146,0.0,0.48,0.022,0
0.09,0.0,0.0,0.1322,-0.005,0.0,-0.3251,0.105,0
0.1,0.0,0.0,0.1112,-0.0334,0.0,0.1294,0.197,0
0.11,0.0,0.0,0.1947,-0.0797,0.0,0.0936,0.104,0
0.12,0.0,0.0,0.1885,-0.1251,0.0,0.246,-0.016,0
0.13,0.0,0.0,0.1656,-0.0578,0.0,0.0173,-0.066,0
0.14,0.0,0.0,0.2156,-0.0324,0.0,0.0269,-0.284,0
0.15,0.0,0.0,0.1425,-0.0545,0.0,0.0094,-0.307,0
0.16,0.0,0.0,0.1255,-0.0357,0.0,-0.1571,-0.39,0
0.17,0.0,0.0,0.1654,-0.0261,0.0,0.2949,-0.574,0
0.18,0.0,0.0,0.1596,-0.0813,0.0,0.2299,-0.757,0
0.19,0.0,0.0,0.1492,-0.0617,0.0,0.2666,-0.905,0
0.2,0.0,0.0,0.1302,-0.1206,0.0,-0.1126,-0.863,0
0.21,0.0,0.0,0.194,-0.1661,0.0,-0.1496,-1.0,0
0.22,0.0,0.0,0.1548,-0.0863,0.0,0.4762,-1.117,0
0.23,0.0,0.0,0.1332,-0.0599,0.0,-0.4244,-1.175,0
0.24,0.0,0.0,0.1157,-0.0323,0.0,0.3628,-1.135,0
0.25,0.0,0.0,0.1074,-0.0541,0.0,0.0465,-1.072,0
0.26,0.0,0.0,0.1358,-0.0192,0.0,0.225,-1.182,0
0.27,0.0,0.0,0.0541,-0.0088,0.0,0.0145,-1.138,0
0.28,0.0,0.0,0.1309,-0.0392,0.0,0.1313,-1.234,0
0.29,0.0,0.0,0.1514,-0.0434,0.0,0.2723,-1.427,0
0.3,0.0,0.0,0.0741,0.003,0.0,0.2281,-1.506,0
0.31,0.0,0.0,0.0585,0.0263,0.0,-0.0037,-1.474,0
0.32,0.0,0.0,0.1198,0.021,0.0,-0.0294,-1.652,0
0.33,0.0,0.0,0.0604,-0.0239,0.0,-0.1393,-1.687,0
0.34,0.0,0.0,0.1288,-0.0628,0.0,-0.2006,-1.842,0
0.35,0.0,0.0,0.0662,-0.0332,0.0,0.0111,-2.004,0
0.36,0.0,0.0,0.0453,0.0013,0.0,-0.1882,-2.088,0
0.37,0.0,0.0,0.0666,0.0041,0.0,0.0598,-2.328,0
0.38,0.0,0.0,0.0783,-0.01,0.0,0.1047,-2.511,0
0.39,0.0,0.0,0.0621,-0.0009,0.0,-0.1021,-2.578,0
0.4,0.0,0.0,0.0181,0.0732,0.0,0.1633,-2.507,0
0.41,0.0,0.0,-0.0078,0.0142,0.0,0.0705,-2.383,0
0.42,0.0,0.0,0.0181,-0.0016,0.0,-0.3824,-2.453,0
0.43,0.0,0.0,0.0151,-0.0159,0.0,0.4254,-2.57,0
0.44,0.0,0.0,0.0064,-0.0223,0.0,-0.1128,-2.648,0
0.45,0.0,0.0,0.038,-0.0024,0.0,0.1448,-2.704,0
0.46,0.0,0.0,-0.0191,-0.0078,0.0,-0.0006,-2.685,0
0.47,0.0,0.0,0.0032,0.0281,0.0,0.2203,-2.639,0
0.48,0.0,0.0,-0.0392,0.0113,0.0,0.2332,-2.547,0
0.49,0.0,0.0,0.0163,0.0204,0.0,0.0747,-2.666,0
0.5,0.0,0.0,-0.0289,0.0007,0.0,0.1065,-2.798,0
0.51,0.0,0.0,0.0172,0.0291,0.0,-0.0054,-3.135,0
0.52,0.0,0.0,-0.0282,0.0138,0.0,0.1301,-3.49,0
0.53,0.0,0.0,-0.0026,0.0328,0.0,0.1751,-3.84,0
0.54,0.0,0.0,0.0127,0.0604,0.0,0.1314,-4.171,0
0.55,0.0,0.0,-0.0292,0.0408,0.0,0.2214,-4.461,0
0.56,0.0,0.0,-0.0297,0.0331,0.0,0.0185,-4.725,0
0.57,0.0,0.0,0.0179,-0.0178,0.0,-0.2833,-5.001,0
0.58,0.0,0.0,0.0207,0.0028,0.0,-0.1691,-5.272,0
0.59,0.0,0.0,-0.029,0.0013,0.0,0.178,-5.466,0
0.6,0.0,0.0,0.0044,0.0569,0.0,-0.0692,-5.849,0
0.61,0.0,0.0,-0.0321,0.0657,0.0,0.0605,-6.028,0
0.62,0.0,0.0,-0.0351,0.0425,0.0,-0.192,-6.096,0
0.63,0.0,0.0,-0.0253,0.0155,0.0,0.4532,-6.121,0
0.64,0.0,0.0,-0.0319,0.0072,0.0,-0.0707,-6.139,0
0.65,0.0,0.0,-0.0031,0.0212,0.0,0.0979,-6.161,0
0.66,0.0,0.0,-0.0419,0.0079,0.0,-0.0298,-6.123,0
0.67,0.0,0.0,-0.0049,0.0478,0.0,-0.0741,-6.293,0
0.68,0.0,0.0,-0.0575,0.0048,0.0,-0.2916,-6.273,0
0.69,0.0,0.0,0.002,-0.0197,0.0,-0.0412,-6.33,0
0.7,0.0,0.0,-0.0372,0.059,0.0,0.3962,-6.355,0
0.71,0.0,0.0,-0.0503,0.0788,0.0,0.0815,-6.446,0
0.72,0.0,0.0,-0.0439,0.0521,0.0,-0.0661,-6.451,0
0.73,0.0,0.0,-0.033,0.113,0.0,0.0786,-6.529,0
0.74,0.0,0.0,-0.0753,0.0596,0.0,-0.146,-6.363,0
