time_s,cmd_vel_x,cmd_vel_y,act_vel_x,act_vel_y,cmd_ang_vel_z,act_ang_vel_z,pitch_deg,fall_event
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.01,0.0,0.0,0.0291,0.0061,0.0,0.1238,0.027,0
0.02,0.0,0.0,0.046,-0.0016,0.0,-0.2137,0.077,0
0.03,0.0,0.0,0.042,0.0023,0.0,0.082,0.249,0
0.04,0.0,0.0,0.0436,0.0026,0.0,0.017,0.635,0
0.05,0.0,0.0,0.0382,-0.021,0.0,-0.1804,1.122,0
0.06,0.0,0.0,0.0344,0.0064,0.0,0.2848,1.681,0
0.07,0.0,0.0,0.0988,0.0056,0.0,-0.0321,2.058,0
0.08,0.0,0.0,0.1002,0.0393,0.0,-0.0192,2.191,0
0.09,0.0,0.0,0.1422,-0.0061,0.0,0.195,2.102,0
0.1,0.0,0.0,0.142,-0.0291,0.0,0.0484,2.025,0
0.11,0.0,0.0,0.1555,-0.0004,0.0,0.008,2.23,0
0.12,0.0,0.0,0.1059,-0.0184,0.0,-0.0756,2.737,0
0.13,0.0,0.0,0.1389,-0.0129,0.0,0.2957,3.351,0
0.14,0.0,0.0,0.1262,-0.0189,0.0,0.1623,3.772,0
0.15,0.0,0.0,0.1379,-0.0509,0.0,0.2643,3.956,0
0.16,0.0,0.0,0.1275,-0.077,0.0,0.0004,4.081,0
0.17,0.0,0.0,0.1579,-0.0126,0.0,0.0453,4.022,0
0.18,0.0,0.0,0.119,0.048,0.0,0.0741,4.061,0
0.19,0.0,0.0,0.1251,0.0531,0.0,0.0228,4.142,0
0.2,0.0,0.0,0.1332,0.0332,0.0,-0.2305,4.066,0
0.21,0.0,0.0,0.1362,0.0229,0.0,0.1945,3.847,0
0.22,0.0,0.0,0.1213,-0.0138,0.0,-0.3312,3.696,0
0.23,0.0,0.0,0.1375,0.0032,0.0,0.2118,3.621,0
0.24,0.0,0.0,0.1154,-0.0299,0.0,-0.1677,3.653,0
0.25,0.0,0.0,0.1377,-0.0272,0.0,0.1363,3.796,0
0.26,0.0,0.0,0.0974,-0.0122,0.0,-0.2115,4.015,0
0.27,0.0,0.0,0.1281,-0.001,0.0,0.0551,4.145,0
0.28,0.0,0.0,0.1253,-0.0209,0.0,0.0732,4.163,0
0.29,0.0,0.0,0.1548,-0.0324,0.0,-0.0148,4.013,0
0.3,0.0,0.0,0.1331,-0.0347,0.0,0.2856,3.829,0
0.31,0.0,0.0,0.1504,-0.0274,0.0,0.0035,3.649,0
0.32,0.0,0.0,0.1172,-0.0511,0.0,0.0037,3.708,0
0.33,0.0,0.0,0.1332,-0.0435,0.0,0.1033,3.976,0
0.34,0.0,0.0,0.0781,0.01,0.0,-0.16,4.504,0
0.35,0.0,0.0,0.0981,0.0404,0.0,0.143,5.085,0
0.36,0.0,0.0,0.1123,-0.0015,0.0,0.2008,5.469,0
0.37,0.0,0.0,0.102,0.0246,0.0,-0.0914,5.607,0
0.38,0.0,0.0,0.1161,0.0653,0.0,-0.1043,5.503,0
0.39,0.0,0.0,0.1052,0.0487,0.0,0.1882,5.341,0
0.4,0.0,0.0,0.1229,0.0551,0.0,-0.0715,5.04,0
0.41,0.0,0.0,0.1103,-0.0003,0.0,0.2934,4.709,0
0.42,0.0,0.0,0.1377,-0.0176,0.0,-0.2706,4.38,0
0.43,0.0,0.0,0.0975,0.0257,0.0,0.0833,4.251,0
0.44,0.0,0.0,0.0953,-0.0243,0.0,-0.0308,4.436,0
0.45,0.0,0.0,0.0848,-0.0358,0.0,-0.044,4.911,0
0.46,0.0,0.0,0.0817,-0.0263,0.0,0.0867,5.46,0
0.47,0.0,0.0,0.0887,-0.0147,0.0,-0.0401,5.847,0
0.48,0.0,0.0,0.0987,0.0311,0.0,-0.0669,5.971,0
0.49,0.0,0.0,0.0726,0.0149,0.0,0.4192,6.044,0
0.5,0.0,0.0,0.107,-0.0537,0.0,0.3481,5.97,0
0.51,0.0,0.0,0.1038,-0.0129,0.0,-0.0786,5.812,0
0.52,0.0,0.0,0.0828,-0.0157,0.0,0.1299,5.823,0
0.53,0.0,0.0,0.1038,0.0117,0.0,0.0708,5.749,0
0.54,0.0,0.0,0.0777,0.0125,0.0,0.1983,5.641,0
0.55,0.0,0.0,0.1275,-0.0056,0.0,-0.0496,5.364,0
0.56,0.0,0.0,0.0925,0.0236,0.0,0.1786,5.058,0
0.57,0.0,0.0,0.1001,-0.0456,0.0,-0.1412,4.851,0
0.58,0.0,0.0,0.0902,-0.0028,0.0,0.2024,4.694,0
0.59,0.0,0.0,0.1166,0.0049,0.0,0.0374,4.483,0
0.6,0.0,0.0,0.0723,-0.0411,0.0,0.2031,4.478,0
0.61,0.0,0.0,0.0831,-0.0859,0.0,0.0754,4.755,0
0.62,0.0,0.0,0.0913,-0.0404,0.0,0.0516,4.961,0
