time_s,cmd_vel_x,cmd_vel_y,act_vel_x,act_vel_y,cmd_ang_vel_z,act_ang_vel_z,pitch_deg,fall_event
0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
0.01,0.5,0.0,0.0608,-0.0001,0.0,-0.0049,-0.247,0
0.02,0.5,0.0,0.0997,0.0006,0.0,0.0531,-0.704,0
0.03,0.5,0.0,0.0851,0.0004,0.0,0.0516,-1.003,0
0.04,0.5,0.0,0.1084,-0.0001,0.0,-0.0048,-1.393,0
0.05,0.5,0.0,0.108,0.0034,0.0,0.4072,-1.803,0
0.06,0.5,0.0,0.1051,-0.0006,0.0,0.0057,-2.191,0
0.07,0.5,0.0,0.0973,0.0016,0.0,0.3211,-2.511,0
0.08,0.5,0.0,0.1604,0.215,0.0,0.0926,-2.961,0
0.09,0.5,0.0,0.2028,0.2402,0.0,0.4891,-3.147,0
0.1,0.5,0.0,0.1714,0.1656,0.0,0.0349,-3.162,0
0.11,0.5,0.0,0.2378,0.0551,0.0,0.0949,-3.39,0
0.12,0.5,0.0,0.2088,0.0592,0.0,-0.4071,-3.506,0
0.13,0.5,0.0,0.199,0.0406,0.0,0.4463,-3.508,0
0.14,0.5,0.0,0.2134,-0.08,0.0,0.3396,-3.46,0
0.15,0.5,0.0,0.2218,-0.1026,0.0,-0.461,-3.397,0
0.16,0.5,0.0,0.2267,-0.0865,0.0,0.3956,-3.31,0
0.17,0.5,0.0,0.264,-0.0862,0.0,0.0717,-3.396,0
0.18,0.5,0.0,0.2496,-0.0794,0.0,-0.3017,-3.501,0
0.19,0.5,0.0,0.2803,-0.0987,0.0,0.0758,-3.641,0
0.2,0.5,0.0,0.2913,-0.0567,0.0,-0.3139,-3.543,0
0.21,0.5,0.0,0.2617,-0.0381,0.0,0.2079,-3.326,0
0.22,0.5,0.0,0.353,0.0091,0.0,0.3944,-3.352,0
0.23,0.5,0.0,0.3353,0.0563,0.0,0.1285,-3.437,0
0.24,0.5,0.0,0.3162,0.0304,0.0,-0.3119,-3.438,0
0.25,0.5,0.0,0.3137,0.0007,0.0,-0.1007,-3.418,0
0.26,0.5,0.0,0.3586,0.0786,0.0,0.1071,-3.615,0
0.27,0.5,0.0,0.3401,0.1193,0.0,-0.234,-3.709,0
0.28,0.5,0.0,0.3055,0.1245,0.0,0.268,-3.687,0
0.29,0.5,0.0,0.3113,0.09,0.0,0.2298,-3.848,0
0.3,0.5,0.0,0.3615,0.1535,0.0,0.0168,-4.335,0
0.31,0.5,0.0,0.3456,0.1162,0.0,0.4074,-4.664,0
0.32,0.5,0.0,0.3743,0.084,0.0,-0.5052,-4.917,0
0.33,0.5,0.0,0.3495,0.093,0.0,0.0115,-5.128,0
0.34,0.5,0.0,0.3613,0.0982,0.0,0.087,-5.337,0
0.35,0.5,0.0,0.3823,0.1979,0.0,0.144,-5.5,0
0.36,0.5,0.0,0.3771,0.1658,0.0,-0.33,-5.625,0
0.37,0.5,0.0,0.3527,0.1289,0.0,0.0782,-5.727,0
0.38,0.5,0.0,0.3529,0.1299,0.0,-0.6382,-5.896,0
0.39,0.5,0.0,0.3239,0.1207,0.0,-0.2311,-5.866,0
0.4,0.5,0.0,0.3401,0.0398,0.0,-0.3086,-5.934,0
0.41,0.5,0.0,0.364,0.034,0.0,-0.6626,-6.161,0
0.42,0.5,0.0,0.3566,0.0314,0.0,0.1754,-6.36,0
0.43,0.5,0.0,0.365,0.0039,0.0,0.079,-6.538,0
0.44,0.5,0.0,0.3454,-0.0422,0.0,-0.3383,-6.732,0
0.45,0.5,0.0,0.3865,-0.0828,0.0,0.0085,-6.95,0
0.46,0.5,0.0,0.3596,-0.1057,0.0,0.3992,-6.935,0
0.47,0.5,0.0,0.389,-0.088,0.0,-0.1102,-7.042,0
0.48,0.5,0.0,0.3844,-0.1405,0.0,0.3112,-7.016,0
0.49,0.5,0.0,0.3911,-0.1717,0.0,0.1201,-6.901,0
0.5,0.5,0.0,0.4204,-0.1518,0.0,-0.3309,-6.82,0
0.51,0.5,0.0,0.3928,-0.1425,0.0,0.0902,-6.53,0
0.52,0.5,0.0,0.3902,-0.108,0.0,0.0278,-6.236,0
0.53,0.5,0.0,0.4355,-0.0936,0.0,0.2004,-6.118,0
0.54,0.5,0.0,0.4023,-0.0747,0.0,-0.0139,-5.898,0
0.55,0.5,0.0,0.4307,-0.0647,0.0,0.3855,-5.622,0
0.56,0.5,0.0,0.3858,0.0513,0.0,-0.195,-5.128,0
0.57,0.5,0.0,0.3918,0.0979,0.0,0.4977,-4.485,0
0.58,0.5,0.0,0.3757,0.107,0.0,0.3798,-4.01,0
0.59,0.5,0.0,0.3891,0.114,0.0,0.0387,-3.785,0
0.6,0.5,0.0,0.3973,0.1139,0.0,-0.1965,-3.695,0
0.61,0.5,0.0,0.4199,0.0313,0.0,-0.1166,-3.597,0
0.62,0.5,0.0,0.4227,-0.017,0.0,0.08,-3.557,0
0.63,0.5,0.0,0.4034,-0.0375,0.0,-0.2012,-3.503,0
0.64,0.5,0.0,0.3872,-0.053,0.0,0.1788,-3.413,0
0.65,0.5,0.0,0.4151,-0.0386,0.0,-0.0503,-3.543,0
0.66,0.5,0.0,0.3784,0.0598,0.0,-0.1775,-3.489,0
0.67,0.5,0.0,0.3897,-0.0204,0.0,-0.0388,-3.336,0
0.68,0.5,0.0,0.4142,-0.0148,0.0,-0.2694,-3.399,0
0.69,0.5,0.0,0.3909,-0.0206,0.0,0.0852,-3.355,0
0.7,0.5,0.0,0.4273,0.0339,0.0,0.2473,-3.436,0
0.71,0.5,0.0,0.3874,0.0167,0.0,-0.2921,-3.215,0
0.72,0.5,0.0,0.3871,-0.0371,0.0,-0.0368,-2.92,0
0.73,0.5,0.0,0.4353,-0.0303,0.0,0.0635,-2.849,0
0.74,0.5,0.0,0.4077,-0.073,0.0,-0.07,-2.668,0
0.75,0.5,0.0,0.448,-0.0125,0.0,-0.1743,-2.699,0
0.76,0.5,0.0,0.3982,-0.02,0.0,-0.4086,-2.5,0
0.77,0.5,0.0,0.4186,-0.016,0.0,0.1291,-2.36,0
0.78,0.5,0.0,0.4055,0.0174,0.0,-0.2022,-2.226,0
0.79,0.5,0.0,0.4532,0.0007,0.0,0.1001,-2.109,0
