time_s,cmd_vel_x,cmd_vel_y,act_vel_x,act_vel_y,cmd_ang_vel_z,act_ang_vel_z,pitch_deg,fall_event
0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
0.01,0.5,0.0,0.0645,-0.0016,0.0,0.0743,-0.247,0
0.02,0.5,0.0,0.1134,0.0034,0.0,-0.0104,-0.72,0
0.03,0.5,0.0,0.1227,-0.0026,0.0,-0.254,-1.353,0
0.04,0.5,0.0,0.1605,-0.0009,0.0,-0.1904,-2.175,0
0.05,0.5,0.0,0.1614,0.0039,0.0,0.2474,-3.089,0
0.06,0.5,0.0,0.1257,0.0027,0.0,0.116,-3.795,0
0.07,0.5,0.0,0.0948,0.0017,0.0,-0.0071,-4.186,0
0.08,0.5,0.0,0.1667,0.2633,0.0,-0.4251,-4.379,0
0.09,0.5,0.0,0.2456,0.0888,0.0,-0.3385,-4.409,0
0.1,0.5,0.0,0.2756,-0.0035,0.0,-0.093,-4.416,0
0.11,0.5,0.0,0.2692,0.0026,0.0,0.2026,-4.433,0
0.12,0.5,0.0,0.248,0.0032,0.0,-0.2585,-4.445,0
0.13,0.5,0.0,0.2349,-0.02,0.0,-0.0336,-4.212,0
0.14,0.5,0.0,0.2427,-0.0741,0.0,-0.076,-3.746,0
0.15,0.5,0.0,0.2514,-0.0648,0.0,0.268,-3.184,0
0.16,0.5,0.0,0.2947,-0.0236,0.0,-0.0273,-2.856,0
0.17,0.5,0.0,0.3234,-0.0352,0.0,0.1296,-2.82,0
0.18,0.5,0.0,0.343,-0.0242,0.0,-0.0306,-2.904,0
0.19,0.5,0.0,0.32,0.0553,0.0,0.1382,-2.805,0
0.2,0.5,0.0,0.2969,0.1009,0.0,0.0144,-2.362,0
0.21,0.5,0.0,0.2992,0.1275,0.0,-0.3425,-1.752,0
0.22,0.5,0.0,0.3467,0.0606,0.0,-0.2179,-1.288,0
0.23,0.5,0.0,0.369,0.0003,0.0,-0.1538,-1.102,0
0.24,0.5,0.0,0.3664,-0.0399,0.0,0.1385,-1.03,0
0.25,0.5,0.0,0.3733,-0.0396,0.0,0.1906,-1.105,0
0.26,0.5,0.0,0.3521,-0.0409,0.0,-0.1841,-1.086,0
0.27,0.5,0.0,0.3594,0.0491,0.0,-0.109,-0.893,0
0.28,0.5,0.0,0.4023,0.0348,0.0,-0.1258,-0.749,0
0.29,0.5,0.0,0.4009,0.0397,0.0,0.0297,-0.7,0
0.3,0.5,0.0,0.4145,0.0495,0.0,-0.0353,-0.77,0
0.31,0.5,0.0,0.4379,0.009,0.0,0.0323,-1.036,0
0.32,0.5,0.0,0.4052,-0.0924,0.0,0.1651,-1.173,0
0.33,0.5,0.0,0.4064,-0.057,0.0,0.1079,-1.086,0
0.34,0.5,0.0,0.3812,-0.0234,0.0,0.2611,-0.736,0
0.35,0.5,0.0,0.395,-0.003,0.0,-0.2409,-0.301,0
0.36,0.5,0.0,0.4022,-0.0019,0.0,0.2909,0.112,0
0.37,0.5,0.0,0.4255,0.0077,0.0,0.126,0.333,0
0.38,0.5,0.0,0.4472,0.06,0.0,0.1482,0.33,0
0.39,0.5,0.0,0.4481,0.0845,0.0,-0.0582,0.259,0
0.4,0.5,0.0,0.4526,0.0846,0.0,-0.0146,0.066,0
0.41,0.5,0.0,0.442,0.0264,0.0,0.3099,-0.115,0
0.42,0.5,0.0,0.4391,-0.0128,0.0,-0.0332,-0.298,0
0.43,0.5,0.0,0.4066,-0.0676,0.0,0.2063,-0.237,0
0.44,0.5,0.0,0.4042,-0.0909,0.0,-0.1225,0.097,0
0.45,0.5,0.0,0.3917,-0.058,0.0,0.1547,0.713,0
0.46,0.5,0.0,0.4123,-0.0809,0.0,0.1757,1.212,0
0.47,0.5,0.0,0.4274,-0.1211,0.0,0.1399,1.465,0
0.48,0.5,0.0,0.4403,-0.0913,0.0,0.1679,1.445,0
0.49,0.5,0.0,0.4451,-0.0512,0.0,-0.2707,1.347,0
0.5,0.5,0.0,0.447,-0.07,0.0,0.3791,1.199,0
0.51,0.5,0.0,0.4423,-0.1839,0.0,-0.0735,1.086,0
0.52,0.5,0.0,0.4794,-0.1804,0.0,0.1056,0.81,0
0.53,0.5,0.0,0.4687,-0.2413,0.0,0.3175,0.54,0
0.54,0.5,0.0,0.4853,-0.2632,0.0,-0.1829,0.317,0
0.55,0.5,0.0,0.4788,-0.3153,0.0,0.4485,0.094,0
0.56,0.5,0.0,0.4967,-0.2375,0.0,-0.1601,0.012,0
0.57,0.5,0.0,0.48,-0.2264,0.0,0.2181,0.204,0
0.58,0.5,0.0,0.5291,-0.1447,0.0,0.0762,0.271,0
0.59,0.5,0.0,0.5478,-0.1179,0.0,-0.1256,0.129,0
0.6,0.5,0.0,0.5298,0.0274,0.0,0.1214,0.143,0
0.61,0.5,0.0,0.4953,0.0646,0.0,0.343,0.451,0
0.62,0.5,0.0,0.5197,0.0282,0.0,-0.0653,0.707,0
0.63,0.5,0.0,0.5409,0.0492,0.0,0.0175,0.653,0
0.64,0.5,0.0,0.5085,0.1138,0.0,0.0395,0.647,0
0.65,0.5,0.0,0.4825,0.1691,0.0,-0.1487,0.922,0
0.66,0.5,0.0,0.5206,0.1649,0.0,-0.1368,1.096,0
0.67,0.5,0.0,0.5348,0.0923,0.0,0.1641,1.0,0
0.68,0.5,0.0,0.5344,0.012,0.0,-0.0099,0.795,0
0.69,0.5,0.0,0.528,-0.0252,0.0,0.4229,0.616,0
0.7,0.5,0.0,0.5317,-0.031,0.0,-0.134,0.444,0
0.71,0.5,0.0,0.4955,0.0193,0.0,0.0463,0.51,0
0.72,0.5,0.0,0.5007,-0.0085,0.0,0.3013,0.722,0
0.73,0.5,0.0,0.5216,-0.0291,0.0,-0.3381,0.948,0
0.74,0.5,0.0,0.5363,-0.0289,0.0,0.1678,1.015,0
0.75,0.5,0.0,0.5436,-0.101,0.0,0.2512,0.835,0
0.76,0.5,0.0,0.5372,-0.1647,0.0,-0.1272,0.596,0
0.77,0.5,0.0,0.5535,-0.1629,0.0,0.3392,0.347,0
0.78,0.5,0.0,0.5358,-0.1755,0.0,0.133,0.31,0
0.79,0.5,0.0,0.5432,-0.125,0.0,-0.1288,0.478,0
0.8,0.5,0.0,0.5445,-0.1297,0.0,0.4452,0.684,0
0.81,0.5,0.0,0.5499,-0.1291,0.0,-0.1713,0.929,0
0.82,0.5,0.0,0.5473,-0.0942,0.0,0.034,1.106,0
0.83,0.5,0.0,0.5717,-0.0985,0.0,0.1104,1.094,0
0.84,0.5,0.0,0.5904,-0.1105,0.0,0.1221,0.825,0
0.85,0.5,0.0,0.5298,0.0193,0.0,0.1157,0.803,0
0.86,0.5,0.0,0.5426,0.0411,0.0,0.0323,0.905,0
0.87,0.5,0.0,0.5521,0.1086,0.0,-0.2782,0.896,0
0.88,0.5,0.0,0.5282,0.1245,0.0,0.2189,0.868,0
0.89,0.5,0.0,0.5644,0.117,0.0,-0.015,0.699,0
0.9,0.5,0.0,0.5483,0.1106,0.0,0.0386,0.467,0
0.91,0.5,0.0,0.5587,0.1077,0.0,0.1102,0.216,0
0.92,0.5,0.0,0.5186,0.0556,0.0,-0.0042,0.159,0
0.93,0.5,0.0,0.5328,0.0314,0.0,0.1978,0.23,0
0.94,0.5,0.0,0.5093,0.0401,0.0,0.2264,0.415,0
0.95,0.5,0.0,0.5192,0.0416,0.0,-0.2006,0.596,0
0.96,0.5,0.0,0.5275,0.0209,0.0,0.3301,0.713,0
0.97,0.5,0.0,0.5549,-0.0049,0.0,0.0653,0.619,0
0.98,0.5,0.0,0.53,-0.013,0.0,-0.0915,0.559,0
0.99,0.5,0.0,0.4887,0.0303,0.0,0.0723,0.773,0
1.0,0.5,0.0,0.5258,0.0374,0.0,-0.1718,0.844,0
1.01,0.5,0.0,0.554,0.03,0.0,0.0385,0.588,0
1.02,0.5,0.0,0.5418,0.0269,0.0,0.2598,0.334,0
1.03,0.5,0.0,0.5215,-0.026,0.0,-0.0241,0.223,0
1.04,0.5,0.0,0.519,-0.0297,0.0,0.0623,0.309,0
1.05,0.5,0.0,0.5486,0.0259,0.0,-0.0322,0.319,0
1.06,0.5,0.0,0.547,0.1184,0.0,0.0391,0.208,0
1.07,0.5,0.0,0.5421,0.152,0.0,-0.0062,0.176,0
1.08,0.5,0.0,0.5683,0.1432,0.0,-0.0179,-0.053,0
1.09,0.5,0.0,0.6014,0.0113,0.0,0.4187,-0.526,0
1.1,0.5,0.0,0.5872,-0.0457,0.0,-0.0856,-1.026,0
1.11,0.5,0.0,0.5679,-0.0506,0.0,-0.0786,-1.363,0
1.12,0.5,0.0,0.5689,0.0334,0.0,0.0951,-1.655,0
1.13,0.5,0.0,0.5602,0.1102,0.0,0.0158,-1.688,0
1.14,0.5,0.0,0.5235,0.2152,0.0,0.0964,-1.363,0
1.15,0.5,0.0,0.5508,0.2457,0.0,-0.1698,-1.09,0
1.16,0.5,0.0,0.5747,0.2422,0.0,0.1905,-1.172,0
1.17,0.5,0.0,0.5789,0.2449,0.0,-0.0268,-1.527,0
1.18,0.5,0.0,0.5637,0.229,0.0,-0.3383,-1.934,0
1.19,0.5,0.0,0.5839,0.1105,0.0,0.2541,-2.339,0
1.2,0.5,0.0,0.5716,0.0856,0.0,-0.2454,-2.793,0
1.21,0.5,0.0,0.5641,0.1,0.0,-0.3063,-3.109,0
1.22,0.5,0.0,0.5629,0.1701,0.0,-0.0062,-3.336,0
1.23,0.5,0.0,0.5633,0.2141,0.0,0.018,-3.512,0
1.24,0.5,0.0,0.5582,0.099,0.0,0.1037,-3.653,0
1.25,0.5,0.0,0.543,0.0377,0.0,-0.2673,-3.726,0
1.26,0.5,0.0,0.5458,0.0488,0.0,-0.0354,-3.8,0
1.27,0.5,0.0,0.5613,0.0657,0.0,0.3937,-3.941,0
1.28,0.5,0.0,0.5714,0.0505,0.0,-0.1972,-4.074,0
1.29,0.5,0.0,0.5651,0.0829,0.0,0.0248,-4.195,0
1.3,0.5,0.0,0.562,0.0286,0.0,0.0492,-4.286,0
1.31,0.5,0.0,0.5265,-0.0493,0.0,-0.3336,-4.301,0
1.32,0.5,0.0,0.5157,-0.1048,0.0,0.0931,-4.285,0
1.33,0.5,0.0,0.5238,-0.1113,0.0,0.1151,-4.279,0
1.34,0.5,0.0,0.5229,-0.098,0.0,0.0266,-4.302,0
1.35,0.5,0.0,0.5007,-0.047,0.0,-0.0108,-4.092,0
1.36,0.5,0.0,0.5007,-0.1138,0.0,0.3965,-3.766,0
1.37,0.5,0.0,0.4716,-0.1696,0.0,0.0041,-3.391,0
1.38,0.5,0.0,0.4936,-0.187,0.0,0.1516,-3.197,0
1.39,0.5,0.0,0.4888,-0.123,0.0,0.3966,-3.096,0
1.4,0.5,0.0,0.5011,-0.1017,0.0,-0.2867,-3.059,0
1.41,0.5,0.0,0.5171,-0.1161,0.0,0.1566,-3.163,0
1.42,0.5,0.0,0.5257,-0.1454,0.0,0.1146,-3.458,0
1.43,0.5,0.0,0.501,-0.1244,0.0,0.1648,-3.59,0
1.44,0.5,0.0,0.5207,-0.104,0.0,0.1565,-3.539,0
1.45,0.5,0.0,0.5132,-0.0691,0.0,0.1603,-3.337,0
1.46,0.5,0.0,0.5121,-0.0521,0.0,-0.1387,-3.112,0
1.47,0.5,0.0,0.505,-0.0647,0.0,0.2544,-2.968,0
1.48,0.5,0.0,0.5086,-0.1147,0.0,0.1316,-2.955,0
1.49,0.5,0.0,0.5052,-0.1453,0.0,-0.0581,-3.068,0
1.5,0.5,0.0,0.5092,-0.1372,0.0,0.4882,-3.157,0
1.51,0.5,0.0,0.5111,-0.0439,0.0,-0.1989,-3.191,0
1.52,0.5,0.0,0.511,-0.0214,0.0,0.0487,-3.138,0
1.53,0.5,0.0,0.5293,-0.0261,0.0,0.1338,-3.051,0
1.54,0.5,0.0,0.514,-0.0332,0.0,-0.0381,-2.954,0
1.55,0.5,0.0,0.5023,-0.1124,0.0,0.3636,-2.883,0
1.56,0.5,0.0,0.4954,-0.1644,0.0,-0.1083,-2.82,0
1.57,0.5,0.0,0.4977,-0.1893,0.0,0.5287,-2.744,0
1.58,0.5,0.0,0.4918,-0.2006,0.0,0.0159,-2.617,0
1.59,0.5,0.0,0.4612,-0.0566,0.0,0.4931,-2.323,0
1.6,0.5,0.0,0.4662,0.0154,0.0,-0.0943,-1.981,0
1.61,0.5,0.0,0.472,0.0388,0.0,-0.314,-1.633,0
1.62,0.5,0.0,0.4665,0.0282,0.0,0.2358,-1.285,0
1.63,0.5,0.0,0.4174,-0.0597,0.0,0.1511,-0.675,0
1.64,0.5,0.0,0.4695,-0.0725,0.0,-0.0623,-0.187,0
1.65,0.5,0.0,0.469,0.0082,0.0,-0.0415,0.026,0
