time_s,cmd_vel_x,cmd_vel_y,act_vel_x,act_vel_y,cmd_ang_vel_z,act_ang_vel_z,pitch_deg,fall_event
0.0,0.5,0.0,0.0065,0.0071,0.0,-0.0739,-0.021,0
0.01,0.5,0.0,0.0305,-0.0033,0.0,-0.3405,-0.05,0
0.02,0.5,0.0,0.0527,0.0007,0.0,0.1609,-0.065,0
0.03,0.5,0.0,0.0952,0.0022,0.0,0.2804,-0.282,0
0.04,0.5,0.0,0.0958,-0.0072,0.0,-0.2072,-0.412,0
0.05,0.5,0.0,0.1441,-0.0076,0.0,-0.2262,-0.673,0
0.06,0.5,0.0,0.1523,-0.0026,0.0,0.1284,-0.963,0
0.07,0.5,0.0,0.1085,-0.0006,0.0,-0.1952,-0.989,0
0.08,0.5,0.0,0.1447,0.0472,0.0,0.2921,-0.89,0
0.09,0.5,0.0,0.1193,0.1106,0.0,-0.0801,-0.686,0
0.1,0.5,0.0,0.1276,0.1565,0.0,0.0315,-0.469,0
0.11,0.5,0.0,0.1207,0.1651,0.0,0.0028,-0.44,0
0.12,0.5,0.0,0.0976,0.0828,0.0,-0.0598,-0.286,0
0.13,0.5,0.0,0.1108,0.0104,0.0,-0.201,-0.207,0
0.14,0.5,0.0,0.1062,0.0173,0.0,-0.1343,0.021,0
0.15,0.5,0.0,0.1723,0.0202,0.0,-0.12,0.075,0
0.16,0.5,0.0,0.1389,0.0229,0.0,0.3146,0.087,0
0.17,0.5,0.0,0.1942,0.0905,0.0,-0.0352,-0.092,0
0.18,0.5,0.0,0.1683,0.1038,0.0,0.3845,-0.102,0
0.19,0.5,0.0,0.2193,0.0456,0.0,-0.2207,-0.16,0
0.2,0.5,0.0,0.1906,0.1272,0.0,-0.006,-0.046,0
0.21,0.5,0.0,0.2184,0.1473,0.0,-0.0906,-0.025,0
0.22,0.5,0.0,0.2347,0.0912,0.0,0.0304,-0.102,0
0.23,0.5,0.0,0.2675,0.0722,0.0,-0.1707,-0.392,0
0.24,0.5,0.0,0.2462,0.0641,0.0,0.2179,-0.528,0
0.25,0.5,0.0,0.2521,-0.0409,0.0,-0.0208,-0.356,0
0.26,0.5,0.0,0.281,0.0301,0.0,-0.041,-0.27,0
0.27,0.5,0.0,0.2827,0.0194,0.0,0.0926,-0.314,0
0.28,0.5,0.0,0.3163,0.0182,0.0,-0.1972,-0.494,0
0.29,0.5,0.0,0.3256,0.064,0.0,-0.1086,-0.723,0
0.3,0.5,0.0,0.3177,0.0772,0.0,0.0619,-0.982,0
0.31,0.5,0.0,0.3843,0.044,0.0,0.0952,-1.507,0
0.32,0.5,0.0,0.3677,-0.0339,0.0,-0.0279,-1.854,0
0.33,0.5,0.0,0.3819,-0.1029,0.0,0.3193,-1.929,0
0.34,0.5,0.0,0.4043,-0.0371,0.0,0.0008,-2.119,0
0.35,0.5,0.0,0.3853,0.0224,0.0,0.4456,-2.117,0
0.36,0.5,0.0,0.3622,0.032,0.0,-0.152,-1.955,0
0.37,0.5,0.0,0.394,-0.0289,0.0,-0.0692,-1.85,0
0.38,0.5,0.0,0.3971,-0.0539,0.0,-0.2435,-1.863,0
0.39,0.5,0.0,0.4028,0.0538,0.0,0.2749,-1.85,0
0.4,0.5,0.0,0.4007,0.097,0.0,0.1931,-1.882,0
0.41,0.5,0.0,0.4312,0.061,0.0,-0.2183,-2.032,0
0.42,0.5,0.0,0.4543,-0.0027,0.0,-0.021,-2.162,0
0.43,0.5,0.0,0.4514,0.0045,0.0,-0.0864,-2.251,0
0.44,0.5,0.0,0.4554,-0.0497,0.0,0.3172,-2.278,0
0.45,0.5,0.0,0.4816,-0.0162,0.0,-0.2407,-2.356,0
0.46,0.5,0.0,0.4251,-0.0154,0.0,-0.2478,-2.186,0
0.47,0.5,0.0,0.4585,0.0441,0.0,-0.0447,-2.15,0
0.48,0.5,0.0,0.4477,0.0377,0.0,-0.1077,-2.268,0
0.49,0.5,0.0,0.5137,0.0041,0.0,-0.0234,-2.576,0
0.5,0.5,0.0,0.5306,-0.0497,0.0,0.061,-2.759,0
0.51,0.5,0.0,0.5232,-0.027,0.0,-0.0916,-2.887,0
0.52,0.5,0.0,0.487,0.0369,0.0,-0.1519,-2.878,0
0.53,0.5,0.0,0.4794,0.0495,0.0,-0.2285,-2.823,0
0.54,0.5,0.0,0.5435,-0.0193,0.0,0.1644,-2.95,0
0.55,0.5,0.0,0.5231,-0.0843,0.0,0.1583,-2.958,0
0.56,0.5,0.0,0.5389,-0.0755,0.0,-0.1573,-3.146,0
0.57,0.5,0.0,0.5217,-0.0331,0.0,-0.1675,-3.351,0
0.58,0.5,0.0,0.5309,-0.0094,0.0,0.067,-3.41,0
0.59,0.5,0.0,0.5261,0.0032,0.0,-0.1264,-3.504,0
0.6,0.5,0.0,0.5532,-0.0528,0.0,0.0023,-3.511,0
0.61,0.5,0.0,0.5207,-0.0048,0.0,-0.1539,-3.428,0
0.62,0.5,0.0,0.5195,0.0288,0.0,-0.1773,-3.374,0
0.63,0.5,0.0,0.5196,0.0056,0.0,0.0231,-3.212,0
0.64,0.5,0.0,0.5565,-0.0515,0.0,0.2224,-3.12,0
0.65,0.5,0.0,0.5476,-0.0378,0.0,0.0094,-3.042,0
0.66,0.5,0.0,0.5636,-0.0426,0.0,-0.008,-3.03,0
0.67,0.5,0.0,0.5623,-0.0612,0.0,-0.0809,-2.992,0
0.68,0.5,0.0,0.5464,-0.0404,0.0,-0.1712,-2.917,0
0.69,0.5,0.0,0.5902,-0.073,0.0,0.181,-3.006,0
0.7,0.5,0.0,0.5604,-0.0675,0.0,-0.1079,-2.99,0
0.71,0.5,0.0,0.5612,-0.007,0.0,-0.1022,-3.007,0
0.72,0.5,0.0,0.4862,0.0423,0.0,-0.1058,-2.761,0
0.73,0.5,0.0,0.5344,-0.0523,0.0,-0.0106,-2.463,0
0.74,0.5,0.0,0.5892,-0.0536,0.0,-0.1091,-2.431,0
0.75,0.5,0.0,0.5831,-0.0783,0.0,0.0624,-2.252,0
0.76,0.5,0.0,0.5567,-0.0322,0.0,-0.1678,-2.012,0
0.77,0.5,0.0,0.5302,0.0422,0.0,0.0247,-1.621,0
0.78,0.5,0.0,0.5245,0.0095,0.0,0.135,-1.299,0
0.79,0.5,0.0,0.5335,0.0377,0.0,-0.3017,-1.194,0
0.8,0.5,0.0,0.5886,-0.0355,0.0,0.1693,-1.142,0
0.81,0.5,0.0,0.5845,-0.0227,0.0,0.0476,-1.176,0
