time_s,cmd_vel_x,cmd_vel_y,act_vel_x,act_vel_y,cmd_ang_vel_z,act_ang_vel_z,pitch_deg,fall_event
0.0,0.5,0.0,0.0291,0.0061,0.0,0.1238,0.027,0
0.01,0.5,0.0,0.0568,-0.0035,0.0,-0.1356,0.033,0
0.02,0.5,0.0,0.067,-0.003,0.0,-0.137,-0.063,0
0.03,0.5,0.0,0.1149,0.0117,0.0,-0.1808,-0.4,0
0.04,0.5,0.0,0.1152,-0.0125,0.0,-0.1477,-0.768,0
0.05,0.5,0.0,0.1395,-0.0835,0.0,0.1259,-1.083,0
0.06,0.5,0.0,0.1362,-0.0727,0.0,0.2229,-1.383,0
0.07,0.5,0.0,0.1491,-0.0472,0.0,-0.1932,-1.822,0
0.08,0.5,0.0,0.1583,-0.0427,0.0,-0.1587,-2.539,0
0.09,0.5,0.0,0.1213,0.0023,0.0,-0.1896,-3.123,0
0.1,0.5,0.0,0.1324,0.0345,0.0,-0.2904,-3.37,0
0.11,0.5,0.0,0.1327,0.1072,0.0,-0.1592,-3.312,0
0.12,0.5,0.0,0.1273,0.0852,0.0,-0.0048,-3.134,0
0.13,0.5,0.0,0.1417,0.0936,0.0,-0.0577,-3.031,0
0.14,0.5,0.0,0.1665,0.1421,0.0,0.0773,-3.152,0
0.15,0.5,0.0,0.1762,0.125,0.0,-0.0596,-3.33,0
0.16,0.5,0.0,0.1825,0.0811,0.0,-0.1733,-3.254,0
0.17,0.5,0.0,0.1876,0.0152,0.0,-0.0844,-2.867,0
0.18,0.5,0.0,0.201,-0.0263,0.0,0.1466,-2.364,0
0.19,0.5,0.0,0.2237,-0.0242,0.0,-0.0655,-2.081,0
0.2,0.5,0.0,0.2541,-0.0966,0.0,0.1151,-1.983,0
0.21,0.5,0.0,0.2586,-0.151,0.0,-0.262,-1.881,0
0.22,0.5,0.0,0.2811,-0.1975,0.0,0.2303,-1.757,0
0.23,0.5,0.0,0.3127,-0.1168,0.0,0.2056,-1.598,0
0.24,0.5,0.0,0.3119,-0.0634,0.0,0.2958,-1.438,0
0.25,0.5,0.0,0.3174,-0.0276,0.0,-0.2664,-1.26,0
0.26,0.5,0.0,0.3269,-0.0127,0.0,0.2461,-1.144,0
0.27,0.5,0.0,0.3509,-0.009,0.0,-0.1431,-1.092,0
0.28,0.5,0.0,0.3662,-0.0023,0.0,0.2478,-0.989,0
0.29,0.5,0.0,0.3638,0.0086,0.0,-0.1885,-0.899,0
0.3,0.5,0.0,0.379,0.0069,0.0,0.2818,-0.912,0
0.31,0.5,0.0,0.3726,-0.0128,0.0,-0.2491,-0.926,0
0.32,0.5,0.0,0.4,0.0987,0.0,0.1434,-0.918,0
0.33,0.5,0.0,0.4048,0.1413,0.0,-0.4809,-0.91,0
0.34,0.5,0.0,0.4403,0.0751,0.0,0.1284,-0.885,0
0.35,0.5,0.0,0.4402,-0.0119,0.0,-0.1604,-0.809,0
0.36,0.5,0.0,0.4433,-0.0666,0.0,0.2898,-0.696,0
0.37,0.5,0.0,0.4518,-0.0853,0.0,-0.0592,-0.681,0
0.38,0.5,0.0,0.4357,-0.0903,0.0,0.159,-0.595,0
0.39,0.5,0.0,0.466,-0.0329,0.0,0.2586,-0.533,0
0.4,0.5,0.0,0.4233,0.0741,0.0,0.2126,-0.262,0
0.41,0.5,0.0,0.4228,0.1144,0.0,-0.5671,0.133,0
0.42,0.5,0.0,0.4363,0.1027,0.0,0.0498,0.497,0
0.43,0.5,0.0,0.4767,0.0159,0.0,-0.0239,0.643,0
0.44,0.5,0.0,0.4969,-0.0682,0.0,0.1774,0.526,0
0.45,0.5,0.0,0.4966,-0.1106,0.0,0.0338,0.337,0
0.46,0.5,0.0,0.4617,-0.0601,0.0,0.2135,0.26,0
0.47,0.5,0.0,0.483,-0.0337,0.0,-0.2785,0.19,0
