time_s,cmd_vel_x,cmd_vel_y,act_vel_x,act_vel_y,cmd_ang_vel_z,act_ang_vel_z,pitch_deg,fall_event
0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
0.01,-0.5,0.0,-0.0554,-0.0006,0.0,-0.0623,0.192,0
0.02,-0.5,0.0,-0.1034,-0.0011,0.0,-0.1021,0.689,0
0.03,-0.5,0.0,-0.1282,-0.0016,0.0,-0.1098,1.424,0
0.04,-0.5,0.0,-0.1204,0.0024,0.0,0.2758,2.169,0
0.05,-0.5,0.0,-0.1165,0.0252,0.0,0.3429,2.874,0
0.06,-0.5,0.0,-0.2185,0.0197,0.0,0.3721,3.621,0
0.07,-0.5,0.0,-0.1825,0.0104,0.0,-0.0721,4.206,0
0.08,-0.5,0.0,-0.1094,-0.0002,0.0,0.0546,4.392,0
0.09,-0.5,0.0,-0.0895,-0.0706,0.0,0.4139,4.269,0
0.1,-0.5,0.0,-0.0908,-0.0876,0.0,0.3805,3.928,0
0.11,-0.5,0.0,-0.1335,-0.0791,0.0,0.3967,3.617,0
0.12,-0.5,0.0,-0.1364,-0.1315,0.0,0.161,3.365,0
0.13,-0.5,0.0,-0.1416,-0.1302,0.0,-0.175,3.217,0
0.14,-0.5,0.0,-0.2001,-0.1088,0.0,0.1774,3.126,0
0.15,-0.5,0.0,-0.1713,-0.1046,0.0,0.0865,2.891,0
0.16,-0.5,0.0,-0.2052,-0.1136,0.0,0.0218,2.624,0
0.17,-0.5,0.0,-0.1774,-0.1211,0.0,0.0592,2.217,0
0.18,-0.5,0.0,-0.2102,-0.0896,0.0,-0.0416,1.796,0
0.19,-0.5,0.0,-0.2121,-0.0606,0.0,-0.1723,1.603,0
0.2,-0.5,0.0,-0.2618,-0.0551,0.0,0.23,1.512,0
0.21,-0.5,0.0,-0.224,0.0121,0.0,0.0365,1.243,0
0.22,-0.5,0.0,-0.2963,0.0039,0.0,0.4414,1.185,0
0.23,-0.5,0.0,-0.2856,-0.0425,0.0,0.1293,1.075,0
0.24,-0.5,0.0,-0.2543,-0.0833,0.0,-0.0541,0.842,0
0.25,-0.5,0.0,-0.2737,-0.198,0.0,-0.1468,0.73,0
0.26,-0.5,0.0,-0.2843,-0.1229,0.0,-0.0195,0.658,0
0.27,-0.5,0.0,-0.3057,-0.0928,0.0,-0.0036,0.835,0
0.28,-0.5,0.0,-0.3227,-0.0299,0.0,0.285,1.139,0
0.29,-0.5,0.0,-0.3181,-0.0237,0.0,-0.0544,1.263,0
0.3,-0.5,0.0,-0.3132,-0.009,0.0,0.086,1.505,0
0.31,-0.5,0.0,-0.3339,-0.0886,0.0,0.3357,2.035,0
0.32,-0.5,0.0,-0.3423,-0.0937,0.0,-0.3594,2.479,0
0.33,-0.5,0.0,-0.3777,-0.0371,0.0,0.2555,2.937,0
0.34,-0.5,0.0,-0.3963,-0.0365,0.0,0.1314,3.164,0
0.35,-0.5,0.0,-0.3684,0.0032,0.0,-0.0706,3.183,0
0.36,-0.5,0.0,-0.3978,0.0222,0.0,-0.0618,3.234,0
0.37,-0.5,0.0,-0.4529,-0.0328,0.0,0.2225,3.366,0
0.38,-0.5,0.0,-0.394,-0.0558,0.0,0.1778,3.331,0
0.39,-0.5,0.0,-0.4107,-0.0732,0.0,0.0108,3.238,0
0.4,-0.5,0.0,-0.3969,-0.0624,0.0,0.143,3.174,0
0.41,-0.5,0.0,-0.4186,-0.0502,0.0,0.0553,3.143,0
0.42,-0.5,0.0,-0.4326,-0.0128,0.0,-0.0896,2.981,0
0.43,-0.5,0.0,-0.4601,-0.0081,0.0,0.0244,2.982,0
0.44,-0.5,0.0,-0.4971,-0.0043,0.0,0.2606,3.022,0
0.45,-0.5,0.0,-0.452,-0.0362,0.0,0.0386,2.899,0
0.46,-0.5,0.0,-0.4552,-0.0234,0.0,0.0067,2.912,0
0.47,-0.5,0.0,-0.4748,-0.0086,0.0,0.0264,3.013,0
0.48,-0.5,0.0,-0.4627,-0.0945,0.0,-0.1037,3.051,0
0.49,-0.5,0.0,-0.4881,-0.0738,0.0,-0.2714,3.071,0
0.5,-0.5,0.0,-0.471,-0.0268,0.0,-0.2405,2.939,0
0.51,-0.5,0.0,-0.5171,0.0117,0.0,0.2645,2.895,0
0.52,-0.5,0.0,-0.5291,-0.0123,0.0,0.0064,2.898,0
0.53,-0.5,0.0,-0.514,-0.0089,0.0,0.2596,2.781,0
0.54,-0.5,0.0,-0.5752,-0.0514,0.0,0.0809,2.838,0
0.55,-0.5,0.0,-0.5,-0.0993,0.0,0.1312,2.757,0
