time_s,cmd_vel_x,cmd_vel_y,act_vel_x,act_vel_y,cmd_ang_vel_z,act_ang_vel_z,pitch_deg,fall_event
0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.01,-1.0,0.0,-0.0567,0.0009,0.0,0.0868,0.193,0
0.02,-1.0,0.0,-0.1149,0.0048,0.0,-0.0022,0.711,0
0.03,-1.0,0.0,-0.1409,-0.002,0.0,-0.2142,1.443,0
0.04,-1.0,0.0,-0.13,-0.0005,0.0,-0.2296,2.019,0
0.05,-1.0,0.0,-0.1731,-0.013,0.0,-0.0744,2.319,0
0.06,-1.0,0.0,-0.232,-0.0378,0.0,-0.013,2.532,0
0.07,-1.0,0.0,-0.1965,-0.0621,0.0,0.0681,2.503,0
0.08,-1.0,0.0,-0.1686,-0.0546,0.0,0.2535,2.13,0
0.09,-1.0,0.0,-0.1645,0.0097,0.0,0.16,1.472,0
0.1,-1.0,0.0,-0.1795,0.0475,0.0,0.5184,0.757,0
0.11,-1.0,0.0,-0.1796,0.011,0.0,0.2152,0.127,0
0.12,-1.0,0.0,-0.1882,0.0481,0.0,-0.1806,-0.498,0
0.13,-1.0,0.0,-0.2311,0.005,0.0,0.0921,-0.84,0
0.14,-1.0,0.0,-0.2606,0.0514,0.0,0.0755,-0.927,0
0.15,-1.0,0.0,-0.2779,0.082,0.0,-0.0823,-0.747,0
0.16,-1.0,0.0,-0.2976,0.0786,0.0,-0.185,-0.281,0
0.17,-1.0,0.0,-0.3169,0.0435,0.0,0.0667,0.146,0
0.18,-1.0,0.0,-0.3328,0.0233,0.0,-0.0205,0.337,0
0.19,-1.0,0.0,-0.3514,0.022,0.0,0.0883,0.329,0
0.2,-1.0,0.0,-0.3631,0.0236,0.0,0.1073,0.171,0
0.21,-1.0,0.0,-0.388,0.0002,0.0,-0.103,-0.071,0
0.22,-1.0,0.0,-0.4107,-0.0157,0.0,-0.1753,-0.324,0
0.23,-1.0,0.0,-0.4219,-0.051,0.0,-0.2582,-0.461,0
0.24,-1.0,0.0,-0.4122,-0.0565,0.0,-0.0146,-0.535,0
0.25,-1.0,0.0,-0.4763,0.0325,0.0,-0.386,-0.369,0
0.26,-1.0,0.0,-0.5109,0.0713,0.0,0.1986,-0.065,0
0.27,-1.0,0.0,-0.5038,0.0591,0.0,-0.2888,0.335,0
0.28,-1.0,0.0,-0.4942,0.0612,0.0,0.1088,0.66,0
0.29,-1.0,0.0,-0.5413,0.1393,0.0,-0.7312,1.043,0
0.3,-1.0,0.0,-0.605,0.0539,0.0,0.3992,1.518,0
0.31,-1.0,0.0,-0.5981,0.0201,0.0,0.2062,1.871,0
0.32,-1.0,0.0,-0.6057,-0.0298,0.0,0.196,2.001,0
0.33,-1.0,0.0,-0.6256,-0.0691,0.0,-0.0446,2.088,0
0.34,-1.0,0.0,-0.6385,-0.0337,0.0,-0.3708,2.221,0
0.35,-1.0,0.0,-0.624,0.0031,0.0,-0.2396,2.21,0
0.36,-1.0,0.0,-0.6602,-0.0764,0.0,0.2102,2.201,0
0.37,-1.0,0.0,-0.7288,-0.0267,0.0,-0.4326,2.271,0
0.38,-1.0,0.0,-0.7012,-0.0089,0.0,-0.0936,2.305,0
0.39,-1.0,0.0,-0.6979,-0.0089,0.0,-0.2106,2.462,0
0.4,-1.0,0.0,-0.6973,-0.0416,0.0,0.4234,2.667,0
0.41,-1.0,0.0,-0.7678,0.0963,0.0,-0.2809,3.096,0
0.42,-1.0,0.0,-0.792,-0.0088,0.0,0.3643,3.46,0
0.43,-1.0,0.0,-0.7879,-0.0156,0.0,-0.2625,3.795,0
0.44,-1.0,0.0,-0.7523,-0.0165,0.0,-0.0637,3.932,0
0.45,-1.0,0.0,-0.8397,0.0023,0.0,0.2331,4.016,0
0.46,-1.0,0.0,-0.8171,-0.0011,0.0,-0.2202,4.288,0
0.47,-1.0,0.0,-0.7736,-0.0018,0.0,-0.0169,4.333,0
0.48,-1.0,0.0,-0.8796,0.0291,0.0,0.3188,4.38,0
0.49,-1.0,0.0,-0.8279,0.0197,0.0,0.042,4.299,0
0.5,-1.0,0.0,-0.8462,0.0161,0.0,0.0584,4.286,0
0.51,-1.0,0.0,-0.846,0.0177,0.0,0.0955,4.519,0
0.52,-1.0,0.0,-0.9043,-0.0988,0.0,-0.0009,4.95,0
0.53,-1.0,0.0,-0.9034,-0.0073,0.0,-0.244,5.242,0
0.54,-1.0,0.0,-0.9034,0.0324,0.0,0.1372,5.542,0
0.55,-1.0,0.0,-0.8816,0.0297,0.0,-0.1817,5.744,0
0.56,-1.0,0.0,-0.9033,-0.0561,0.0,0.2669,5.715,0
0.57,-1.0,0.0,-0.9059,-0.0971,0.0,-0.1861,5.706,0
0.58,-1.0,0.0,-0.888,-0.0891,0.0,0.4999,5.67,0
0.59,-1.0,0.0,-0.9528,0.095,0.0,-0.2976,5.831,0
0.6,-1.0,0.0,-0.9132,0.0918,0.0,0.0003,5.899,0
0.61,-1.0,0.0,-0.9333,0.094,0.0,-0.1831,6.071,0
0.62,-1.0,0.0,-0.9258,0.0073,0.0,0.2969,6.143,0
0.63,-1.0,0.0,-0.9305,-0.0371,0.0,-0.2047,6.259,0
0.64,-1.0,0.0,-0.9222,0.0102,0.0,0.0877,6.235,0
