time_s,cmd_vel_x,cmd_vel_y,act_vel_x,act_vel_y,cmd_ang_vel_z,act_ang_vel_z,pitch_deg,fall_event
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.01,0.0,0.0,0.0065,0.0071,0.0,-0.0739,-0.021,0
0.02,0.0,0.0,0.0018,-0.0077,0.0,0.0091,-0.038,0
0.03,0.0,0.0,0.0011,0.0062,0.0,-0.086,-0.087,0
0.04,0.0,0.0,0.0335,0.0044,0.0,0.4767,-0.16,0
0.05,0.0,0.0,-0.0345,-0.0034,0.0,0.1396,-0.086,0
0.06,0.0,0.0,0.0233,-0.0626,0.0,0.2601,-0.087,0
0.07,0.0,0.0,0.013,-0.0527,0.0,-0.5996,-0.192,0
0.08,0.0,0.0,0.0048,0.013,0.0,0.2163,-0.254,0
0.09,0.0,0.0,-0.0369,0.0577,0.0,-0.3256,-0.238,0
0.1,0.0,0.0,-0.0784,0.0472,0.0,0.0746,-0.173,0
0.11,0.0,0.0,-0.0077,0.0114,0.0,0.1275,-0.311,0
0.12,0.0,0.0,-0.0756,-0.012,0.0,0.1076,-0.299,0
0.13,0.0,0.0,-0.0041,-0.0673,0.0,0.1378,-0.416,0
0.14,0.0,0.0,-0.0047,-0.0424,0.0,-0.0314,-0.435,0
0.15,0.0,0.0,-0.0405,-0.0665,0.0,0.1879,-0.321,0
0.16,0.0,0.0,0.0163,-0.0511,0.0,0.0369,-0.379,0
0.17,0.0,0.0,-0.05,-0.0489,0.0,0.0766,-0.299,0
0.18,0.0,0.0,0.0106,-0.0776,0.0,-0.0352,-0.35,0
0.19,0.0,0.0,-0.0546,-0.07,0.0,0.0688,-0.259,0
0.2,0.0,0.0,0.008,-0.1089,0.0,-0.0317,-0.326,0
0.21,0.0,0.0,0.0213,-0.0489,0.0,0.147,-0.438,0
0.22,0.0,0.0,-0.0327,-0.0211,0.0,0.3865,-0.496,0
0.23,0.0,0.0,0.0077,-0.0074,0.0,0.0255,-0.602,0
0.24,0.0,0.0,-0.0546,-0.0486,0.0,0.0025,-0.495,0
0.25,0.0,0.0,-0.0007,-0.0446,0.0,-0.1074,-0.462,0
0.26,0.0,0.0,-0.0628,-0.0064,0.0,0.1096,-0.424,0
0.27,0.0,0.0,-0.0032,0.0236,0.0,0.0565,-0.561,0
0.28,0.0,0.0,-0.05,-0.0013,0.0,0.2212,-0.721,0
0.29,0.0,0.0,0.0059,0.0115,0.0,0.1138,-1.071,0
0.3,0.0,0.0,-0.0723,0.009,0.0,-0.0409,-1.234,0
0.31,0.0,0.0,-0.0052,-0.0048,0.0,-0.0626,-1.52,0
0.32,0.0,0.0,-0.0173,-0.0205,0.0,-0.2812,-1.853,0
0.33,0.0,0.0,-0.0328,0.0259,0.0,0.5125,-2.149,0
0.34,0.0,0.0,-0.0177,0.0278,0.0,-0.1314,-2.618,0
0.35,0.0,0.0,-0.0459,0.0087,0.0,0.1743,-2.937,0
0.36,0.0,0.0,-0.0568,0.0209,0.0,-0.0153,-3.102,0
0.37,0.0,0.0,-0.0262,0.0362,0.0,0.3642,-3.265,0
0.38,0.0,0.0,-0.0749,0.0521,0.0,-0.2375,-3.384,0
0.39,0.0,0.0,-0.0318,0.0394,0.0,0.1854,-3.506,0
0.4,0.0,0.0,-0.0931,-0.0048,0.0,-0.1112,-3.399,0
0.41,0.0,0.0,-0.013,-0.0553,0.0,-0.0596,-3.44,0
0.42,0.0,0.0,-0.067,-0.0361,0.0,-0.0012,-3.532,0
0.43,0.0,0.0,-0.018,-0.0087,0.0,0.0074,-3.808,0
0.44,0.0,0.0,-0.0728,0.0444,0.0,0.3297,-3.864,0
0.45,0.0,0.0,-0.0446,0.0156,0.0,-0.2553,-4.015,0
0.46,0.0,0.0,-0.0461,0.0366,0.0,0.2395,-4.21,0
0.47,0.0,0.0,-0.0311,0.0914,0.0,0.3972,-4.408,0
0.48,0.0,0.0,-0.0924,0.0601,0.0,0.2374,-4.353,0
0.49,0.0,0.0,-0.0919,0.0356,0.0,-0.7061,-4.223,0
0.5,0.0,0.0,-0.0845,0.0197,0.0,0.0964,-4.065,0
0.51,0.0,0.0,-0.0437,0.0534,0.0,-0.0237,-4.112,0
0.52,0.0,0.0,-0.1191,0.0672,0.0,-0.168,-3.933,0
0.53,0.0,0.0,-0.0351,0.0198,0.0,-0.0805,-3.889,0
0.54,0.0,0.0,-0.0554,-0.0299,0.0,-0.1503,-3.887,0
0.55,0.0,0.0,-0.0202,-0.0102,0.0,0.1804,-3.891,0
0.56,0.0,0.0,-0.0703,-0.0139,0.0,0.4513,-3.82,0
0.57,0.0,0.0,-0.056,0.0181,0.0,-0.1156,-3.922,0
0.58,0.0,0.0,-0.0564,0.0052,0.0,-0.0426,-4.079,0
0.59,0.0,0.0,-0.0244,-0.0719,0.0,-0.2138,-4.276,0
0.6,0.0,0.0,-0.0125,-0.0038,0.0,0.078,-4.463,0
0.61,0.0,0.0,-0.0546,0.0052,0.0,0.045,-4.6,0
0.62,0.0,0.0,-0.0525,0.0416,0.0,-0.3273,-4.919,0
0.63,0.0,0.0,-0.0522,-0.0098,0.0,0.0218,-5.051,0
0.64,0.0,0.0,-0.038,-0.0248,0.0,0.1979,-5.119,0
0.65,0.0,0.0,-0.0497,0.0002,0.0,-0.0687,-5.199,0
0.66,0.0,0.0,-0.0702,-0.0125,0.0,0.2902,-5.072,0
0.67,0.0,0.0,-0.0843,0.0085,0.0,-0.0056,-4.883,0
0.68,0.0,0.0,-0.0326,0.0104,0.0,0.1334,-4.742,0
0.69,0.0,0.0,-0.0937,0.0589,0.0,0.0761,-4.322,0
0.7,0.0,0.0,-0.1001,0.0459,0.0,-0.2856,-3.99,0
0.71,0.0,0.0,-0.0457,0.0165,0.0,0.1465,-3.766,0
0.72,0.0,0.0,-0.0549,-0.0323,0.0,-0.1628,-3.532,0
0.73,0.0,0.0,-0.0216,-0.0165,0.0,0.2292,-3.311,0
