time_s,cmd_vel_x,cmd_vel_y,act_vel_x,act_vel_y,cmd_ang_vel_z,act_ang_vel_z,pitch_deg,fall_event
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.01,0.0,0.0,0.0291,0.0061,0.0,0.1238,0.027,0
0.02,0.0,0.0,0.0253,-0.0023,0.0,-0.2138,0.07,0
0.03,0.0,0.0,0.0013,0.0005,0.0,0.0713,0.236,0
0.04,0.0,0.0,-0.0042,0.0021,0.0,0.1008,0.534,0
0.05,0.0,0.0,-0.0359,-0.0572,0.0,-0.2565,0.967,0
0.06,0.0,0.0,-0.0596,0.0034,0.0,0.2754,1.562,0
0.07,0.0,0.0,-0.0206,0.0135,0.0,-0.0866,1.947,0
0.08,0.0,0.0,-0.0366,0.0652,0.0,-0.0712,2.073,0
0.09,0.0,0.0,-0.0239,0.0147,0.0,0.1692,1.964,0
0.1,0.0,0.0,-0.0147,0.0095,0.0,0.1229,1.602,0
0.11,0.0,0.0,-0.0014,0.0503,0.0,-0.2897,1.151,0
0.12,0.0,0.0,-0.0212,0.0469,0.0,0.4082,0.731,0
0.13,0.0,0.0,-0.0368,-0.0045,0.0,0.0692,0.574,0
0.14,0.0,0.0,-0.0429,-0.0458,0.0,0.1466,0.721,0
0.15,0.0,0.0,-0.043,-0.021,0.0,-0.0196,1.206,0
0.16,0.0,0.0,-0.0678,-0.0497,0.0,-0.0539,1.998,0
0.17,0.0,0.0,-0.0293,0.0003,0.0,0.022,2.688,0
0.18,0.0,0.0,-0.0355,0.0036,0.0,0.0321,3.099,0
0.19,0.0,0.0,-0.0201,-0.0111,0.0,0.0347,3.246,0
0.2,0.0,0.0,-0.0001,-0.0227,0.0,0.0031,3.121,0
0.21,0.0,0.0,0.0071,-0.0213,0.0,0.1489,2.88,0
0.22,0.0,0.0,-0.0223,0.0082,0.0,0.0264,2.812,0
0.23,0.0,0.0,-0.0077,-0.0053,0.0,0.0257,3.073,0
0.24,0.0,0.0,-0.034,-0.0213,0.0,0.0145,3.584,0
0.25,0.0,0.0,0.0124,-0.0195,0.0,-0.1093,3.99,0
0.26,0.0,0.0,0.0091,0.0114,0.0,-0.0583,4.143,0
0.27,0.0,0.0,-0.0001,0.0141,0.0,-0.1563,4.069,0
0.28,0.0,0.0,0.0185,0.0108,0.0,0.2169,3.917,0
0.29,0.0,0.0,-0.0143,-0.0301,0.0,0.2985,3.93,0
0.3,0.0,0.0,0.012,0.0021,0.0,-0.3249,4.018,0
0.31,0.0,0.0,-0.0077,-0.0076,0.0,0.161,4.124,0
0.32,0.0,0.0,0.0249,-0.016,0.0,-0.1139,4.058,0
0.33,0.0,0.0,-0.0178,0.0048,0.0,0.1691,3.945,0
0.34,0.0,0.0,0.0193,0.0289,0.0,-0.2485,3.735,0
0.35,0.0,0.0,0.0262,0.051,0.0,0.1052,3.289,0
0.36,0.0,0.0,-0.0054,-0.0198,0.0,0.2527,3.026,0
0.37,0.0,0.0,-0.0023,-0.0164,0.0,0.1487,3.075,0
0.38,0.0,0.0,-0.0346,-0.0829,0.0,0.113,3.482,0
0.39,0.0,0.0,-0.0004,-0.067,0.0,-0.2933,4.034,0
0.4,0.0,0.0,-0.03,0.0511,0.0,0.2888,4.616,0
0.41,0.0,0.0,0.0042,0.0286,0.0,0.0839,5.012,0
0.42,0.0,0.0,-0.0014,-0.0001,0.0,0.1742,5.136,0
0.43,0.0,0.0,-0.0119,-0.0083,0.0,0.0396,5.047,0
0.44,0.0,0.0,0.0503,-0.019,0.0,0.0095,4.673,0
0.45,0.0,0.0,0.0078,0.0351,0.0,0.4454,4.23,0
0.46,0.0,0.0,0.015,0.0153,0.0,-0.3393,3.845,0
0.47,0.0,0.0,0.016,0.0089,0.0,0.2184,3.54,0
0.48,0.0,0.0,-0.0216,-0.0548,0.0,0.1653,3.54,0
0.49,0.0,0.0,-0.005,-0.0404,0.0,0.0909,3.873,0
0.5,0.0,0.0,-0.0359,0.0044,0.0,0.3904,4.252,0
0.51,0.0,0.0,-0.0154,-0.033,0.0,0.0228,4.564,0
0.52,0.0,0.0,0.0221,-0.001,0.0,0.2215,4.587,0
0.53,0.0,0.0,-0.0117,-0.0005,0.0,-0.2128,4.527,0
0.54,0.0,0.0,-0.0071,0.0266,0.0,0.3326,4.522,0
0.55,0.0,0.0,-0.0102,-0.0478,0.0,0.4047,4.405,0
0.56,0.0,0.0,-0.0006,-0.0124,0.0,-0.3721,4.254,0
0.57,0.0,0.0,-0.0051,0.0007,0.0,0.2251,4.1,0
0.58,0.0,0.0,-0.028,-0.0018,0.0,0.0014,4.205,0
0.59,0.0,0.0,0.0063,0.0334,0.0,-0.063,4.198,0
0.6,0.0,0.0,-0.0239,0.024,0.0,0.2554,4.173,0
0.61,0.0,0.0,0.008,-0.0348,0.0,-0.1625,4.182,0
0.62,0.0,0.0,-0.0172,0.0106,0.0,0.3016,4.221,0
