time_s,cmd_vel_x,cmd_vel_y,act_vel_x,act_vel_y,cmd_ang_vel_z,act_ang_vel_z,pitch_deg,fall_event
0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
0.01,0.5,0.0,0.0645,-0.0016,0.0,0.0743,-0.247,0
0.02,0.5,0.0,0.1134,0.0034,0.0,-0.0104,-0.72,0
0.03,0.5,0.0,0.1227,-0.0026,0.0,-0.254,-1.353,0
0.04,0.5,0.0,0.1605,-0.0009,0.0,-0.1904,-2.175,0
0.05,0.5,0.0,0.2177,0.0143,0.0,0.2119,-2.953,0
0.06,0.5,0.0,0.2124,0.0212,0.0,0.2978,-3.65,0
0.07,0.5,0.0,0.1796,0.017,0.0,0.0748,-4.119,0
0.08,0.5,0.0,0.1408,0.0153,0.0,-0.1035,-4.317,0
0.09,0.5,0.0,0.122,0.014,0.0,-0.3716,-4.403,0
0.1,0.5,0.0,0.1304,0.1357,0.0,0.1347,-4.419,0
0.11,0.5,0.0,0.1825,0.0683,0.0,-0.4715,-4.385,0
0.12,0.5,0.0,0.2191,0.0984,0.0,-0.153,-4.573,0
0.13,0.5,0.0,0.1768,0.0991,0.0,0.2659,-4.807,0
0.14,0.5,0.0,0.1674,0.1481,0.0,-0.0138,-4.918,0
0.15,0.5,0.0,0.1753,0.1708,0.0,0.1783,-4.75,0
0.16,0.5,0.0,0.2022,0.0693,0.0,0.151,-4.364,0
0.17,0.5,0.0,0.1924,0.0106,0.0,0.0313,-3.734,0
0.18,0.5,0.0,0.2097,0.0136,0.0,0.0306,-2.947,0
0.19,0.5,0.0,0.2198,0.0254,0.0,0.1282,-2.151,0
0.2,0.5,0.0,0.2356,0.0466,0.0,0.0305,-1.496,0
0.21,0.5,0.0,0.2599,0.0491,0.0,0.1004,-1.168,0
0.22,0.5,0.0,0.2938,0.019,0.0,0.0108,-1.152,0
0.23,0.5,0.0,0.3306,-0.0134,0.0,0.2039,-1.437,0
0.24,0.5,0.0,0.3295,-0.0454,0.0,-0.1961,-1.821,0
0.25,0.5,0.0,0.3509,-0.0823,0.0,0.159,-2.059,0
0.26,0.5,0.0,0.3439,-0.0429,0.0,-0.1338,-2.029,0
0.27,0.5,0.0,0.3431,0.0047,0.0,0.0538,-1.818,0
0.28,0.5,0.0,0.3566,-0.0329,0.0,0.2519,-1.568,0
0.29,0.5,0.0,0.3675,-0.033,0.0,0.0193,-1.443,0
0.3,0.5,0.0,0.3861,-0.0927,0.0,-0.0663,-1.447,0
0.31,0.5,0.0,0.397,-0.1081,0.0,0.2174,-1.404,0
0.32,0.5,0.0,0.3844,-0.0416,0.0,0.0715,-1.193,0
0.33,0.5,0.0,0.4022,-0.0031,0.0,0.0623,-1.075,0
0.34,0.5,0.0,0.4269,-0.0051,0.0,0.0094,-1.204,0
0.35,0.5,0.0,0.396,0.0137,0.0,0.0769,-1.163,0
0.36,0.5,0.0,0.4204,-0.0879,0.0,0.2833,-0.785,0
0.37,0.5,0.0,0.4385,-0.1297,0.0,0.1386,-0.445,0
0.38,0.5,0.0,0.46,-0.0942,0.0,0.0327,-0.406,0
0.39,0.5,0.0,0.4449,-0.0079,0.0,0.2774,-0.449,0
0.4,0.5,0.0,0.4214,0.0125,0.0,0.027,-0.384,0
0.41,0.5,0.0,0.454,0.0089,0.0,0.0465,-0.439,0
0.42,0.5,0.0,0.4448,-0.006,0.0,-0.0343,-0.52,0
0.43,0.5,0.0,0.4454,-0.0009,0.0,-0.0387,-0.331,0
0.44,0.5,0.0,0.4942,-0.0193,0.0,0.074,-0.271,0
0.45,0.5,0.0,0.4793,-0.0234,0.0,0.5095,-0.307,0
0.46,0.5,0.0,0.4923,-0.0472,0.0,-0.0676,-0.358,0
0.47,0.5,0.0,0.4739,-0.1039,0.0,0.2981,-0.195,0
0.48,0.5,0.0,0.5003,-0.0686,0.0,-0.1119,0.034,0
0.49,0.5,0.0,0.4587,0.0084,0.0,0.0464,0.353,0
0.5,0.5,0.0,0.4675,0.0424,0.0,-0.0247,0.632,0
0.51,0.5,0.0,0.496,0.0406,0.0,0.0539,0.667,0
0.52,0.5,0.0,0.5192,-0.0273,0.0,0.0145,0.419,0
0.53,0.5,0.0,0.5241,-0.0338,0.0,-0.03,0.036,0
0.54,0.5,0.0,0.5261,-0.0525,0.0,0.1868,-0.27,0
0.55,0.5,0.0,0.5178,-0.0117,0.0,0.1687,-0.299,0
0.56,0.5,0.0,0.5189,-0.0095,0.0,0.0021,-0.026,0
0.57,0.5,0.0,0.5315,-0.0023,0.0,0.2007,0.318,0
0.58,0.5,0.0,0.5478,-0.0867,0.0,0.1295,0.491,0
0.59,0.5,0.0,0.5386,-0.0246,0.0,-0.0087,0.447,0
0.6,0.5,0.0,0.5287,0.0108,0.0,0.1272,0.32,0
0.61,0.5,0.0,0.547,0.0207,0.0,0.2065,0.112,0
0.62,0.5,0.0,0.547,0.018,0.0,-0.0893,-0.184,0
0.63,0.5,0.0,0.5307,-0.0659,0.0,0.1123,-0.291,0
0.64,0.5,0.0,0.5169,-0.1714,0.0,0.245,-0.049,0
0.65,0.5,0.0,0.5727,-0.1378,0.0,0.0836,0.116,0
0.66,0.5,0.0,0.5214,-0.0413,0.0,0.43,0.249,0
0.67,0.5,0.0,0.5421,0.0107,0.0,-0.0145,0.201,0
0.68,0.5,0.0,0.5625,0.0354,0.0,0.1701,-0.098,0
0.69,0.5,0.0,0.5379,0.0333,0.0,0.2775,-0.275,0
0.7,0.5,0.0,0.5188,0.0571,0.0,-0.124,-0.124,0
0.71,0.5,0.0,0.5048,-0.0168,0.0,0.2905,0.343,0
0.72,0.5,0.0,0.5204,-0.0428,0.0,0.1438,0.75,0
0.73,0.5,0.0,0.5364,-0.0396,0.0,0.1093,0.887,0
0.74,0.5,0.0,0.5351,0.0348,0.0,-0.1467,0.759,0
0.75,0.5,0.0,0.5073,0.0175,0.0,0.2105,0.619,0
0.76,0.5,0.0,0.5594,-0.0293,0.0,0.1272,0.312,0
0.77,0.5,0.0,0.5467,-0.0329,0.0,-0.0999,-0.066,0
0.78,0.5,0.0,0.537,-0.0327,0.0,0.0479,-0.193,0
0.79,0.5,0.0,0.5638,0.0175,0.0,0.1984,-0.226,0
0.8,0.5,0.0,0.5183,0.1062,0.0,-0.0355,0.026,0
0.81,0.5,0.0,0.5373,0.1054,0.0,0.2164,0.425,0
0.82,0.5,0.0,0.5443,0.038,0.0,0.2019,0.655,0
0.83,0.5,0.0,0.555,-0.0294,0.0,0.3703,0.703,0
0.84,0.5,0.0,0.5393,-0.075,0.0,0.1237,0.671,0
0.85,0.5,0.0,0.5345,-0.1138,0.0,-0.04,0.686,0
0.86,0.5,0.0,0.5285,-0.0473,0.0,0.0109,0.701,0
0.87,0.5,0.0,0.5191,0.0213,0.0,0.0841,0.751,0
0.88,0.5,0.0,0.5544,0.0537,0.0,-0.1431,0.6,0
0.89,0.5,0.0,0.5826,0.0507,0.0,0.3267,0.182,0
0.9,0.5,0.0,0.5826,0.0741,0.0,-0.2307,-0.344,0
0.91,0.5,0.0,0.5834,0.0375,0.0,0.4653,-0.838,0
0.92,0.5,0.0,0.5545,-0.0938,0.0,0.2286,-1.09,0
0.93,0.5,0.0,0.5333,-0.1133,0.0,0.299,-1.034,0
0.94,0.5,0.0,0.5278,-0.0342,0.0,-0.1863,-0.838,0
0.95,0.5,0.0,0.5256,0.0164,0.0,0.2942,-0.522,0
0.96,0.5,0.0,0.5601,0.007,0.0,-0.0407,-0.398,0
0.97,0.5,0.0,0.5556,-0.0101,0.0,0.0833,-0.512,0
0.98,0.5,0.0,0.5837,-0.0254,0.0,-0.1319,-0.786,0
0.99,0.5,0.0,0.5601,0.0598,0.0,0.1442,-1.056,0
1.0,0.5,0.0,0.5341,0.1154,0.0,-0.2831,-1.116,0
1.01,0.5,0.0,0.5559,0.0613,0.0,0.4605,-1.059,0
1.02,0.5,0.0,0.5559,0.0235,0.0,-0.1148,-0.988,0
1.03,0.5,0.0,0.5269,-0.0116,0.0,0.1876,-0.709,0
1.04,0.5,0.0,0.5487,-0.0719,0.0,0.2811,-0.475,0
1.05,0.5,0.0,0.5372,0.0176,0.0,-0.3208,-0.292,0
1.06,0.5,0.0,0.5213,0.0823,0.0,0.0966,-0.053,0
1.07,0.5,0.0,0.5548,0.0855,0.0,-0.124,-0.026,0
1.08,0.5,0.0,0.5631,0.0756,0.0,0.2686,-0.169,0
1.09,0.5,0.0,0.5536,-0.0715,0.0,0.2357,-0.276,0
1.1,0.5,0.0,0.5497,-0.1223,0.0,0.0469,-0.296,0
1.11,0.5,0.0,0.5437,-0.1543,0.0,0.5708,-0.274,0
1.12,0.5,0.0,0.5412,0.0109,0.0,-0.3472,-0.215,0
1.13,0.5,0.0,0.5244,0.0685,0.0,0.2102,-0.094,0
1.14,0.5,0.0,0.5466,0.0942,0.0,-0.3091,-0.087,0
1.15,0.5,0.0,0.5754,0.0911,0.0,0.1406,-0.331,0
1.16,0.5,0.0,0.5638,0.0249,0.0,0.1501,-0.703,0
1.17,0.5,0.0,0.5467,-0.0535,0.0,0.1541,-0.808,0
1.18,0.5,0.0,0.5331,-0.0096,0.0,0.017,-0.718,0
1.19,0.5,0.0,0.5726,0.0168,0.0,0.0888,-0.749,0
1.2,0.5,0.0,0.5685,0.0308,0.0,-0.102,-0.839,0
1.21,0.5,0.0,0.5618,-0.0043,0.0,0.2065,-0.851,0
1.22,0.5,0.0,0.534,-0.0651,0.0,0.0215,-0.755,0
1.23,0.5,0.0,0.5362,-0.0163,0.0,-0.0126,-0.719,0
1.24,0.5,0.0,0.5429,0.0129,0.0,0.1517,-0.762,0
1.25,0.5,0.0,0.5471,0.0075,0.0,-0.2598,-0.856,0
1.26,0.5,0.0,0.5455,0.042,0.0,0.3726,-0.914,0
1.27,0.5,0.0,0.5442,-0.0309,0.0,-0.1253,-0.941,0
1.28,0.5,0.0,0.5661,-0.0788,0.0,0.1513,-1.104,0
1.29,0.5,0.0,0.5351,-0.0126,0.0,-0.1867,-1.114,0
1.3,0.5,0.0,0.5476,0.0064,0.0,0.27,-1.096,0
1.31,0.5,0.0,0.5469,0.0102,0.0,-0.1392,-1.036,0
1.32,0.5,0.0,0.5618,0.0095,0.0,0.1731,-1.049,0
1.33,0.5,0.0,0.539,-0.0027,0.0,0.0664,-1.021,0
1.34,0.5,0.0,0.5398,-0.0044,0.0,0.3491,-0.909,0
1.35,0.5,0.0,0.5096,0.1229,0.0,-0.0066,-0.638,0
1.36,0.5,0.0,0.5026,0.061,0.0,0.0803,-0.356,0
1.37,0.5,0.0,0.5243,0.0084,0.0,0.2963,-0.332,0
1.38,0.5,0.0,0.525,0.0107,0.0,-0.1493,-0.429,0
1.39,0.5,0.0,0.5619,0.0089,0.0,0.0017,-0.765,0
1.4,0.5,0.0,0.5472,0.0885,0.0,0.1841,-1.126,0
1.41,0.5,0.0,0.5208,0.1024,0.0,0.021,-1.188,0
1.42,0.5,0.0,0.5467,0.0465,0.0,-0.4568,-1.111,0
1.43,0.5,0.0,0.5397,0.046,0.0,0.085,-1.037,0
1.44,0.5,0.0,0.5541,-0.028,0.0,0.0893,-1.094,0
1.45,0.5,0.0,0.5268,-0.101,0.0,0.0213,-1.105,0
1.46,0.5,0.0,0.5215,-0.1652,0.0,0.1684,-1.059,0
1.47,0.5,0.0,0.5218,-0.0684,0.0,-0.3791,-0.951,0
1.48,0.5,0.0,0.5219,-0.0684,0.0,0.1505,-0.846,0
1.49,0.5,0.0,0.504,-0.0349,0.0,0.2469,-0.65,0
1.5,0.5,0.0,0.4711,0.0583,0.0,-0.1585,-0.189,0
1.51,0.5,0.0,0.5005,0.0936,0.0,-0.3515,0.196,0
1.52,0.5,0.0,0.5073,0.0495,0.0,0.0781,0.366,0
1.53,0.5,0.0,0.5241,0.0204,0.0,0.0965,0.274,0
1.54,0.5,0.0,0.5011,-0.0189,0.0,-0.2034,0.097,0
1.55,0.5,0.0,0.4949,-0.0313,0.0,0.0995,0.052,0
1.56,0.5,0.0,0.4779,0.0816,0.0,-0.4959,0.156,0
1.57,0.5,0.0,0.4751,0.0862,0.0,-0.0592,0.399,0
1.58,0.5,0.0,0.4992,0.0395,0.0,-0.1255,0.476,0
1.59,0.5,0.0,0.4975,0.0046,0.0,0.2498,0.355,0
1.6,0.5,0.0,0.4887,-0.0522,0.0,-0.0988,0.228,0
1.61,0.5,0.0,0.4785,-0.05,0.0,0.0699,0.299,0
1.62,0.5,0.0,0.4494,0.0657,0.0,-0.082,0.672,0
1.63,0.5,0.0,0.4953,0.0872,0.0,-0.2453,0.96,0
1.64,0.5,0.0,0.5059,0.0455,0.0,-0.1829,0.972,0
1.65,0.5,0.0,0.4871,-0.0658,0.0,0.4279,0.942,0
