time_s,cmd_vel_x,cmd_vel_y,act_vel_x,act_vel_y,cmd_ang_vel_z,act_ang_vel_z,pitch_deg,fall_event
0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.01,2.0,0.0,0.0664,0.0009,0.0,0.0797,-0.271,0
0.02,2.0,0.0,0.0767,-0.0029,0.0,-0.3238,-0.57,0
0.03,2.0,0.0,0.0827,0.0,0.0,-0.0194,-0.787,0
0.04,2.0,0.0,0.1113,0.0006,0.0,0.0074,-1.154,0
0.05,2.0,0.0,0.0815,0.0698,0.0,0.1911,-1.262,0
0.06,2.0,0.0,0.1235,0.013,0.0,-0.2335,-1.201,0
0.07,2.0,0.0,0.1579,0.0176,0.0,-0.347,-1.334,0
0.08,2.0,0.0,0.139,0.0181,0.0,0.3797,-1.456,0
0.09,2.0,0.0,0.148,0.0197,0.0,-0.1906,-1.555,0
0.1,2.0,0.0,0.1815,-0.1308,0.0,-0.1385,-1.525,0
0.11,2.0,0.0,0.17,-0.1194,0.0,-0.0989,-1.404,0
0.12,2.0,0.0,0.1442,-0.1081,0.0,-0.2505,-1.054,0
0.13,2.0,0.0,0.1458,0.0086,0.0,0.3996,-0.575,0
0.14,2.0,0.0,0.1791,0.0704,0.0,-0.3047,-0.063,0
0.15,2.0,0.0,0.2122,0.0942,0.0,0.29,0.269,0
0.16,2.0,0.0,0.18,0.1016,0.0,-0.1117,0.547,0
0.17,2.0,0.0,0.2189,0.1566,0.0,0.4819,0.611,0
0.18,2.0,0.0,0.1979,0.1616,0.0,0.2294,0.791,0
0.19,2.0,0.0,0.2729,0.0941,0.0,-0.0178,0.962,0
0.2,2.0,0.0,0.2712,0.116,0.0,-0.1266,1.266,0
0.21,2.0,0.0,0.3153,0.0588,0.0,0.4363,1.554,0
0.22,2.0,0.0,0.3131,0.0223,0.0,-0.0284,1.835,0
0.23,2.0,0.0,0.3451,-0.0134,0.0,0.0068,1.892,0
0.24,2.0,0.0,0.3685,0.0175,0.0,0.2262,1.818,0
0.25,2.0,0.0,0.4051,0.0527,0.0,-0.0337,1.536,0
0.26,2.0,0.0,0.4007,0.0349,0.0,0.1158,1.316,0
0.27,2.0,0.0,0.424,-0.0415,0.0,-0.1044,1.371,0
0.28,2.0,0.0,0.4352,-0.1013,0.0,0.1093,1.499,0
0.29,2.0,0.0,0.4416,-0.0929,0.0,-0.484,1.617,0
0.3,2.0,0.0,0.4844,0.0474,0.0,0.1955,1.729,0
0.31,2.0,0.0,0.4891,0.0858,0.0,-0.1288,1.966,0
0.32,2.0,0.0,0.4916,0.0693,0.0,0.0557,2.177,0
0.33,2.0,0.0,0.5418,0.0704,0.0,0.0805,2.15,0
0.34,2.0,0.0,0.5222,0.0687,0.0,-0.2098,2.034,0
0.35,2.0,0.0,0.6153,-0.0307,0.0,-0.0266,1.821,0
0.36,2.0,0.0,0.6207,-0.0249,0.0,-0.088,1.844,0
0.37,2.0,0.0,0.6229,-0.0273,0.0,-0.0362,1.879,0
0.38,2.0,0.0,0.6445,-0.0177,0.0,-0.4052,1.65,0
0.39,2.0,0.0,0.6556,0.0294,0.0,0.0219,1.467,0
0.4,2.0,0.0,0.6771,0.0603,0.0,0.185,1.307,0
0.41,2.0,0.0,0.7183,-0.0208,0.0,0.1162,1.073,0
0.42,2.0,0.0,0.7413,-0.1267,0.0,0.0946,1.042,0
0.43,2.0,0.0,0.7211,-0.1334,0.0,-0.1161,1.255,0
0.44,2.0,0.0,0.7438,-0.117,0.0,0.123,1.265,0
0.45,2.0,0.0,0.7849,-0.0102,0.0,0.0525,1.026,0
0.46,2.0,0.0,0.7852,-0.014,0.0,0.1291,0.804,0
0.47,2.0,0.0,0.7703,-0.0101,0.0,-0.2533,0.566,0
0.48,2.0,0.0,0.8617,-0.0501,0.0,-0.178,0.208,0
0.49,2.0,0.0,0.8562,0.0039,0.0,-0.2689,0.015,0
0.5,2.0,0.0,0.8595,0.0066,0.0,0.3269,-0.157,0
0.51,2.0,0.0,0.9019,-0.0438,0.0,0.0002,-0.378,0
0.52,2.0,0.0,0.8678,-0.081,0.0,-0.1636,-0.408,0
0.53,2.0,0.0,0.9066,-0.0084,0.0,0.0547,-0.496,0
0.54,2.0,0.0,0.9057,0.04,0.0,-0.2836,-0.488,0
0.55,2.0,0.0,0.9563,-0.0212,0.0,-0.3251,-0.589,0
0.56,2.0,0.0,0.9378,-0.0095,0.0,0.005,-0.831,0
0.57,2.0,0.0,0.9884,-0.0914,0.0,-0.179,-1.278,0
0.58,2.0,0.0,0.9703,-0.0913,0.0,0.0535,-1.699,0
0.59,2.0,0.0,0.9843,-0.0731,0.0,-0.007,-2.101,0
0.6,2.0,0.0,1.0477,-0.1357,0.0,-0.2435,-2.512,0
0.61,2.0,0.0,1.0398,-0.0333,0.0,-0.3047,-2.716,0
0.62,2.0,0.0,1.02,-0.0189,0.0,-0.0452,-2.897,0
0.63,2.0,0.0,1.0521,-0.0042,0.0,-0.2934,-3.301,0
0.64,2.0,0.0,1.0609,-0.0703,0.0,-0.2422,-3.549,0
0.65,2.0,0.0,1.0606,-0.0925,0.0,0.3982,-3.698,0
0.66,2.0,0.0,1.0791,-0.0144,0.0,0.1268,-3.713,0
0.67,2.0,0.0,1.0711,-0.0029,0.0,-0.1264,-3.499,0
0.68,2.0,0.0,1.099,-0.0512,0.0,-0.0195,-3.396,0
0.69,2.0,0.0,1.1142,0.0502,0.0,0.2749,-3.455,0
0.7,2.0,0.0,1.0846,0.047,0.0,-0.1402,-3.466,0
0.71,2.0,0.0,1.0982,0.0351,0.0,0.4464,-3.486,0
0.72,2.0,0.0,1.1537,0.012,0.0,0.0138,-3.639,0
0.73,2.0,0.0,1.1556,-0.0187,0.0,0.0074,-3.691,0
0.74,2.0,0.0,1.1178,0.0037,0.0,0.0001,-3.531,0
0.75,2.0,0.0,1.1382,0.1184,0.0,0.4251,-3.318,0
