time_s,cmd_vel_x,cmd_vel_y,act_vel_x,act_vel_y,cmd_ang_vel_z,act_ang_vel_z,pitch_deg,fall_event
0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0
0.01,0.0,0.0,0.0319,0.0073,0.25,0.1994,-0.035,0
0.02,0.0,0.0,0.0261,0.006,0.25,0.5025,-0.05,0
0.03,0.0,0.0,0.0209,-0.0003,0.25,-0.0913,-0.048,0
0.04,0.0,0.0,0.0246,0.0076,0.25,0.5482,-0.07,0
0.05,0.0,0.0,-0.026,0.1822,0.25,-0.1229,0.094,0
0.06,0.0,0.0,0.0045,0.093,0.25,0.2074,0.279,0
0.07,0.0,0.0,0.0295,0.0395,0.25,0.0141,0.206,0
0.08,0.0,0.0,0.0119,0.026,0.25,0.4492,0.079,0
0.09,0.0,0.0,0.0043,-0.0236,0.25,0.5115,0.062,0
0.1,0.0,0.0,-0.0157,-0.0616,0.25,0.4668,0.289,0
0.11,0.0,0.0,-0.03,-0.0924,0.25,0.6242,0.813,0
0.12,0.0,0.0,-0.0603,-0.0318,0.25,0.2104,1.664,0
0.13,0.0,0.0,-0.0169,0.0023,0.25,0.2567,2.407,0
0.14,0.0,0.0,-0.0181,-0.0271,0.25,0.267,2.863,0
0.15,0.0,0.0,-0.0029,-0.0273,0.25,0.1907,3.062,0
0.16,0.0,0.0,0.0128,-0.0212,0.25,0.2243,2.982,0
0.17,0.0,0.0,0.02,-0.0301,0.25,0.5187,2.785,0
0.18,0.0,0.0,0.033,-0.0333,0.25,-0.0446,2.548,0
0.19,0.0,0.0,0.0162,0.0218,0.25,0.4082,2.404,0
0.2,0.0,0.0,0.0,0.0276,0.25,0.0356,2.536,0
0.21,0.0,0.0,-0.0039,0.0561,0.25,0.5211,2.871,0
0.22,0.0,0.0,0.0013,0.0689,0.25,0.2855,3.085,0
0.23,0.0,0.0,-0.0191,0.0752,0.25,0.1242,3.178,0
0.24,0.0,0.0,0.0267,0.0144,0.25,0.3336,3.006,0
0.25,0.0,0.0,-0.0085,-0.0147,0.25,0.5975,2.863,0
0.26,0.0,0.0,-0.0026,0.014,0.25,-0.0086,2.843,0
0.27,0.0,0.0,-0.0025,-0.0215,0.25,0.3696,2.986,0
0.28,0.0,0.0,0.008,-0.0494,0.25,0.4173,3.207,0
0.29,0.0,0.0,-0.0226,-0.0091,0.25,0.271,3.572,0
0.3,0.0,0.0,0.0332,0.0059,0.25,0.2528,3.767,0
0.31,0.0,0.0,0.0179,0.0079,0.25,0.1982,3.702,0
0.32,0.0,0.0,0.0435,0.0424,0.25,0.2629,3.419,0
0.33,0.0,0.0,-0.0012,0.0182,0.25,0.2994,3.168,0
0.34,0.0,0.0,0.0174,0.0081,0.25,0.3163,3.174,0
0.35,0.0,0.0,-0.034,0.0613,0.25,0.1052,3.518,0
0.36,0.0,0.0,-0.0054,0.0569,0.25,0.4469,3.998,0
0.37,0.0,0.0,0.019,-0.0125,0.25,0.2927,4.313,0
0.38,0.0,0.0,0.0287,0.008,0.25,0.2096,4.356,0
0.39,0.0,0.0,0.0108,0.0085,0.25,0.5842,4.357,0
0.4,0.0,0.0,0.0523,-0.0521,0.25,0.1937,4.244,0
0.41,0.0,0.0,0.0378,-0.0272,0.25,0.4381,4.202,0
0.42,0.0,0.0,0.0427,-0.0274,0.25,0.2723,4.423,0
0.43,0.0,0.0,0.0387,-0.051,0.25,0.3387,4.77,0
0.44,0.0,0.0,0.081,-0.0704,0.25,0.0379,4.919,0
0.45,0.0,0.0,0.059,-0.0366,0.25,0.533,4.993,0
0.46,0.0,0.0,0.0597,0.0256,0.25,0.2256,4.88,0
0.47,0.0,0.0,0.0349,0.1016,0.25,0.5346,4.788,0
0.48,0.0,0.0,0.0542,0.0594,0.25,0.2594,4.593,0
0.49,0.0,0.0,0.0652,0.0508,0.25,0.7197,4.244,0
0.5,0.0,0.0,0.053,0.0119,0.25,-0.0645,3.998,0
0.51,0.0,0.0,0.0803,0.0162,0.25,0.3038,3.756,0
0.52,0.0,0.0,0.0809,0.0032,0.25,0.2813,3.545,0
0.53,0.0,0.0,0.078,-0.0033,0.25,0.1319,3.517,0
0.54,0.0,0.0,0.08,-0.013,0.25,0.2387,3.625,0
0.55,0.0,0.0,0.0733,-0.0125,0.25,0.2125,3.796,0
0.56,0.0,0.0,0.0797,-0.023,0.25,0.383,3.992,0
0.57,0.0,0.0,0.0964,-0.0351,0.25,0.2685,4.126,0
0.58,0.0,0.0,0.0874,-0.036,0.25,0.486,4.219,0
0.59,0.0,0.0,0.1184,-0.0493,0.25,0.2504,4.134,0
0.6,0.0,0.0,0.1047,-0.0495,0.25,0.5543,3.998,0
0.61,0.0,0.0,0.1377,-0.0741,0.25,-0.101,3.895,0
0.62,0.0,0.0,0.0892,0.0308,0.25,0.231,3.836,0
0.63,0.0,0.0,0.0708,0.0788,0.25,0.3072,3.859,0
0.64,0.0,0.0,0.0865,0.0506,0.25,0.231,3.916,0
0.65,0.0,0.0,0.0957,0.0383,0.25,0.2606,3.93,0
0.66,0.0,0.0,0.0923,0.0355,0.25,0.2075,3.891,0
0.67,0.0,0.0,0.1085,0.0421,0.25,0.2637,3.797,0
0.68,0.0,0.0,0.0948,0.0246,0.25,0.2831,3.702,0
0.69,0.0,0.0,0.1004,0.0229,0.25,0.452,3.644,0
0.7,0.0,0.0,0.0979,0.0215,0.25,0.351,3.617,0
0.71,0.0,0.0,0.1274,0.0157,0.25,0.3812,3.538,0
0.72,0.0,0.0,0.089,0.0082,0.25,0.3274,3.511,0
0.73,0.0,0.0,0.1116,-0.0091,0.25,0.4763,3.54,0
0.74,0.0,0.0,0.1048,-0.0308,0.25,0.2959,3.705,0
0.75,0.0,0.0,0.1083,-0.0457,0.25,0.3956,4.064,0
0.76,0.0,0.0,0.1166,-0.0516,0.25,0.3538,4.471,0
0.77,0.0,0.0,0.1138,-0.0467,0.25,0.3514,4.86,0
0.78,0.0,0.0,0.0809,-0.0017,0.25,0.1402,5.178,0
0.79,0.0,0.0,0.1034,-0.0162,0.25,0.5592,5.433,0
0.8,0.0,0.0,0.0928,0.002,0.25,0.0879,5.509,0
0.81,0.0,0.0,0.0992,-0.0233,0.25,0.5065,5.573,0
0.82,0.0,0.0,0.0881,-0.0268,0.25,0.308,5.509,0
0.83,0.0,0.0,0.1054,-0.0174,0.25,0.4554,5.402,0
