time_s,cmd_vel_x,cmd_vel_y,act_vel_x,act_vel_y,cmd_ang_vel_z,act_ang_vel_z,pitch_deg,fall_event
0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0
0.01,0.0,0.0,0.0065,0.0071,0.5,-0.0739,-0.021,0
0.02,0.0,0.0,-0.0052,0.0065,0.5,-0.0624,0.003,0
0.03,0.0,0.0,0.0207,0.0031,0.5,0.4543,0.013,0
0.04,0.0,0.0,0.0149,0.0137,0.5,0.623,0.05,0
0.05,0.0,0.0,-0.0492,0.0199,0.5,0.9517,0.224,0
0.06,0.0,0.0,-0.037,-0.0759,0.5,0.5633,0.3,0
0.07,0.0,0.0,0.0279,-0.1049,0.5,0.5715,0.027,0
0.08,0.0,0.0,0.0244,-0.0526,0.5,0.4812,-0.088,0
0.09,0.0,0.0,0.003,0.0053,0.5,0.4438,-0.286,0
0.1,0.0,0.0,0.0033,0.0406,0.5,0.3471,-0.537,0
0.11,0.0,0.0,0.0246,0.0384,0.5,0.7752,-0.978,0
0.12,0.0,0.0,-0.0522,0.0037,0.5,0.6728,-1.221,0
0.13,0.0,0.0,0.0173,-0.059,0.5,0.8083,-1.57,0
0.14,0.0,0.0,-0.0146,-0.0892,0.5,0.2705,-1.822,0
0.15,0.0,0.0,-0.0047,-0.07,0.5,0.6832,-2.144,0
0.16,0.0,0.0,-0.0059,-0.0949,0.5,0.6327,-2.465,0
0.17,0.0,0.0,0.0015,-0.0389,0.5,0.765,-2.958,0
0.18,0.0,0.0,-0.0335,0.004,0.5,0.2385,-3.306,0
0.19,0.0,0.0,-0.0034,-0.029,0.5,0.5066,-3.594,0
0.2,0.0,0.0,-0.0066,-0.0704,0.5,0.3479,-3.815,0
0.21,0.0,0.0,-0.0223,-0.0316,0.5,1.1358,-3.989,0
0.22,0.0,0.0,-0.052,-0.0445,0.5,0.5188,-3.945,0
0.23,0.0,0.0,-0.1202,0.0001,0.5,0.4293,-3.563,0
0.24,0.0,0.0,-0.0625,-0.0069,0.5,0.4029,-3.347,0
0.25,0.0,0.0,-0.0817,0.0128,0.5,0.1836,-3.17,0
0.26,0.0,0.0,-0.0961,0.0642,0.5,0.8525,-2.909,0
0.27,0.0,0.0,-0.0752,-0.0111,0.5,0.7258,-2.635,0
0.28,0.0,0.0,-0.0841,-0.0022,0.5,0.5377,-2.361,0
0.29,0.0,0.0,-0.0546,-0.0148,0.5,0.8666,-2.294,0
0.3,0.0,0.0,-0.0776,0.032,0.5,0.487,-2.311,0
0.31,0.0,0.0,-0.0574,0.041,0.5,0.8378,-2.503,0
0.32,0.0,0.0,-0.0348,-0.0283,0.5,0.1749,-2.767,0
0.33,0.0,0.0,-0.0384,-0.0273,0.5,0.1406,-3.019,0
0.34,0.0,0.0,-0.0402,-0.0363,0.5,0.8078,-3.263,0
0.35,0.0,0.0,-0.0441,0.0145,0.5,0.2076,-3.652,0
0.36,0.0,0.0,-0.0635,0.0533,0.5,0.9013,-4.023,0
0.37,0.0,0.0,-0.0822,0.0242,0.5,0.5341,-4.343,0
0.38,0.0,0.0,-0.0945,0.0411,0.5,0.3895,-4.648,0
0.39,0.0,0.0,-0.0657,0.0296,0.5,0.634,-5.154,0
0.4,0.0,0.0,-0.0515,0.0025,0.5,0.0542,-5.737,0
0.41,0.0,0.0,-0.0201,0.0022,0.5,0.3444,-6.344,0
0.42,0.0,0.0,-0.0601,0.0091,0.5,0.2662,-6.894,0
0.43,0.0,0.0,-0.0362,0.026,0.5,0.5049,-7.442,0
0.44,0.0,0.0,-0.0607,0.0406,0.5,0.3677,-7.957,0
0.45,0.0,0.0,-0.0925,0.0168,0.5,0.5158,-8.044,0
0.46,0.0,0.0,-0.1216,0.0316,0.5,0.5182,-7.865,0
0.47,0.0,0.0,-0.1181,0.0202,0.5,0.5289,-7.446,0
0.48,0.0,0.0,-0.0433,-0.0306,0.5,0.7434,-7.029,0
0.49,0.0,0.0,-0.052,-0.0167,0.5,0.2074,-6.669,0
0.5,0.0,0.0,-0.0377,0.0069,0.5,0.3889,-6.316,0
0.51,0.0,0.0,-0.089,0.0064,0.5,0.4468,-5.799,0
0.52,0.0,0.0,-0.1031,0.0176,0.5,0.3707,-5.225,0
0.53,0.0,0.0,-0.0796,0.0404,0.5,0.6641,-4.706,0
0.54,0.0,0.0,-0.1046,0.0217,0.5,0.3383,-4.17,0
0.55,0.0,0.0,-0.0472,-0.0322,0.5,0.2207,-3.783,0
0.56,0.0,0.0,-0.0526,-0.0558,0.5,0.4819,-3.27,0
0.57,0.0,0.0,-0.0582,-0.0579,0.5,0.1737,-2.659,0
0.58,0.0,0.0,-0.0239,-0.0641,0.5,0.6016,-2.015,0
0.59,0.0,0.0,-0.0636,-0.0317,0.5,-0.0894,-1.326,0
0.6,0.0,0.0,-0.1081,-0.0162,0.5,0.1588,-0.467,0
0.61,0.0,0.0,-0.055,-0.0223,0.5,0.4544,0.36,0
0.62,0.0,0.0,-0.0962,0.0125,0.5,0.0268,1.216,0
0.63,0.0,0.0,-0.0812,0.0025,0.5,0.3615,2.161,0
0.64,0.0,0.0,-0.1005,-0.0257,0.5,-0.1193,3.111,0
0.65,0.0,0.0,-0.0021,-0.0711,0.5,0.3439,3.879,0
0.66,0.0,0.0,-0.0723,-0.0455,0.5,0.3042,4.59,0
0.67,0.0,0.0,-0.061,-0.0141,0.5,0.3957,5.135,0
0.68,0.0,0.0,-0.061,0.0234,0.5,0.5611,5.364,0
