time_s,cmd_vel_x,cmd_vel_y,act_vel_x,act_vel_y,cmd_ang_vel_z,act_ang_vel_z,pitch_deg,fall_event
0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0
0.01,0.0,0.0,-0.0331,-0.004,-0.5,-0.4422,-0.011,0
0.02,0.0,0.0,-0.0334,-0.0064,-0.5,-0.352,0.035,0
0.03,0.0,0.0,-0.0153,0.0001,-0.5,-0.7702,-0.122,0
0.04,0.0,0.0,-0.0175,-0.0025,-0.5,0.1095,-0.326,0
0.05,0.0,0.0,-0.039,-0.1721,-0.5,-0.3817,-0.403,0
0.06,0.0,0.0,-0.0002,-0.1428,-0.5,-0.7793,-0.469,0
0.07,0.0,0.0,-0.0247,-0.0624,-0.5,-0.0928,-0.517,0
0.08,0.0,0.0,0.0126,-0.0108,-0.5,-0.5396,-0.606,0
0.09,0.0,0.0,-0.0076,0.0307,-0.5,-0.5077,-0.644,0
0.1,0.0,0.0,0.0084,0.012,-0.5,-0.9756,-0.829,0
0.11,0.0,0.0,-0.0332,0.0461,-0.5,-0.5121,-0.801,0
0.12,0.0,0.0,-0.0608,-0.0239,-0.5,-0.8796,-0.64,0
0.13,0.0,0.0,-0.0291,-0.0705,-0.5,-0.3737,-0.679,0
0.14,0.0,0.0,0.0095,-0.0911,-0.5,-0.7406,-0.831,0
0.15,0.0,0.0,-0.0297,-0.0099,-0.5,-0.1475,-0.862,0
0.16,0.0,0.0,-0.0316,-0.0039,-0.5,-0.8753,-0.854,0
0.17,0.0,0.0,-0.0501,0.0246,-0.5,-0.2904,-0.787,0
0.18,0.0,0.0,-0.0733,-0.003,-0.5,-0.6177,-0.669,0
0.19,0.0,0.0,-0.014,-0.0051,-0.5,-0.6927,-0.805,0
0.2,0.0,0.0,-0.0629,0.0654,-0.5,-0.3865,-0.766,0
0.21,0.0,0.0,-0.0288,0.0539,-0.5,-0.7775,-0.856,0
0.22,0.0,0.0,-0.0503,0.0115,-0.5,-0.4541,-0.788,0
0.23,0.0,0.0,-0.0007,0.0294,-0.5,-0.5803,-0.808,0
0.24,0.0,0.0,-0.0718,0.0243,-0.5,-0.6555,-0.613,0
0.25,0.0,0.0,-0.0601,-0.0551,-0.5,-0.6707,-0.507,0
0.26,0.0,0.0,0.0107,-0.0866,-0.5,-0.6653,-0.681,0
0.27,0.0,0.0,-0.0405,-0.0002,-0.5,-0.3151,-0.741,0
0.28,0.0,0.0,-0.0254,0.0094,-0.5,-0.82,-0.892,0
0.29,0.0,0.0,-0.0519,0.0141,-0.5,-0.4303,-0.882,0
0.3,0.0,0.0,-0.0098,0.0377,-0.5,-0.6446,-0.985,0
0.31,0.0,0.0,-0.0548,0.0037,-0.5,-0.3934,-0.996,0
0.32,0.0,0.0,0.0182,-0.0234,-0.5,-0.349,-1.209,0
0.33,0.0,0.0,-0.0619,0.0008,-0.5,-0.4754,-1.237,0
0.34,0.0,0.0,0.0004,0.0236,-0.5,-0.5064,-1.388,0
0.35,0.0,0.0,-0.0595,-0.0275,-0.5,-0.5517,-1.37,0
0.36,0.0,0.0,0.0131,-0.0506,-0.5,-0.5085,-1.492,0
0.37,0.0,0.0,-0.0362,0.0158,-0.5,-0.2038,-1.425,0
0.38,0.0,0.0,-0.0252,-0.0294,-0.5,-0.9292,-1.301,0
0.39,0.0,0.0,-0.0095,-0.0041,-0.5,-0.6763,-1.385,0
0.4,0.0,0.0,-0.0154,0.0004,-0.5,-0.7592,-1.505,0
