time_s,cmd_vel_x,cmd_vel_y,act_vel_x,act_vel_y,cmd_ang_vel_z,act_ang_vel_z,pitch_deg,fall_event
0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0
0.01,0.0,0.0,0.0086,-0.0011,-0.5,-0.7558,-0.028,0
0.02,0.0,0.0,0.0122,-0.0106,-0.5,-0.8675,-0.047,0
0.03,0.0,0.0,-0.0092,-0.0101,-0.5,-0.3752,0.148,0
0.04,0.0,0.0,0.0253,-0.0021,-0.5,-0.2641,0.322,0
0.05,0.0,0.0,-0.0002,0.0288,-0.5,-0.9028,0.555,0
0.06,0.0,0.0,0.0388,0.0428,-0.5,-0.5416,0.676,0
0.07,0.0,0.0,0.01,0.0602,-0.5,-0.2156,0.708,0
0.08,0.0,0.0,-0.0196,0.0431,-0.5,-0.6119,0.915,0
0.09,0.0,0.0,-0.002,0.0162,-0.5,-0.4382,1.349,0
0.1,0.0,0.0,-0.0006,-0.0152,-0.5,-0.5747,1.842,0
0.11,0.0,0.0,0.0354,0.0051,-0.5,-0.4912,2.083,0
0.12,0.0,0.0,0.0289,0.0179,-0.5,-0.6095,2.055,0
0.13,0.0,0.0,0.0321,0.072,-0.5,-0.622,1.834,0
0.14,0.0,0.0,0.013,0.0077,-0.5,-0.0549,1.579,0
0.15,0.0,0.0,0.0237,-0.0582,-0.5,-0.5742,1.316,0
0.16,0.0,0.0,0.0186,-0.0315,-0.5,-0.4438,1.234,0
0.17,0.0,0.0,0.0058,-0.091,-0.5,-0.4744,1.494,0
0.18,0.0,0.0,0.0215,-0.0864,-0.5,-0.0918,1.83,0
0.19,0.0,0.0,-0.0024,-0.0515,-0.5,-0.862,2.242,0
0.2,0.0,0.0,0.0181,-0.0048,-0.5,-0.6113,2.538,0
0.21,0.0,0.0,0.0259,0.0337,-0.5,-0.6728,2.552,0
0.22,0.0,0.0,0.0142,0.0096,-0.5,-0.3232,2.443,0
0.23,0.0,0.0,0.0436,-0.0191,-0.5,-0.3289,2.129,0
